name,cycle,acc_noGM,acc_GM
NaCl | NaMnHCF,96,0.0,1.0
NaCl | NaMnHCF,100,0.0,1.0
NaCl | NaNiHCF,12,0.285,1.0
NaCl | NaNiHCF,24,0.14,0.76
NaCl | NaNiHCF,36,0.135,0.6875
NaCl | NaNiHCF,48,0.195,0.705
NaCl | NaNiHCF,60,0.4125,0.7675
NaCl | NaNiHCF,72,0.655,0.8625
NaCl | NaNiHCF,84,0.6975,0.82
NaCl | NaNiHCF,96,0.5075,1.0
NaCl | NaNiHCF,100,0.4475,0.745
Shu | KCuHCF,12,0.0,1.0
Shu | KCuHCF,24,0.0,1.0
Shu | KCuHCF,36,0.0,1.0
Shu | KCuHCF,48,0.0,1.0
Shu | KCuHCF,60,0.0,1.0
Shu | KCuHCF,72,0.0,1.0
Shu | KCuHCF,84,0.0,1.0
Shu | KCuHCF,96,0.0,1.0
Shu | KCuHCF,100,0.0,1.0
Shu | KFeHCF,12,0.0,1.0
Shu | KFeHCF,24,0.0,1.0
Shu | KFeHCF,36,0.0,0.525
Shu | KFeHCF,48,0.0,1.0
Shu | KFeHCF,60,0.0,0.855
Shu | KFeHCF,72,0.0,0.82
Shu | KFeHCF,84,0.0,0.6825
Shu | KFeHCF,96,0.0,1.0
Shu | KFeHCF,100,0.0,0.615
Shu | KMnHCF,12,0.165,1.0
Shu | KMnHCF,24,0.205,0.925
Shu | KMnHCF,36,0.32,0.935
Shu | KMnHCF,48,0.43,0.9125
Shu | KMnHCF,60,0.5325,0.9175
Shu | KMnHCF,72,0.6975,0.9525
Shu | KMnHCF,84,0.74,0.9025
Shu | KMnHCF,96,0.4775,0.56
Shu | KMnHCF,100,0.3375,1.0
Shu | KNiHCF,12,0.3,1.0
Shu | KNiHCF,24,0.4375,0.8925
Shu | KNiHCF,36,0.6075,0.9175
Shu | KNiHCF,48,0.775,0.9425
Shu | KNiHCF,60,0.885,0.9625
Shu | KNiHCF,72,0.9725,0.9825
Shu | KNiHCF,84,0.9925,0.9875
Shu | KNiHCF,96,0.6325,0.655
Shu | KNiHCF,100,0.3425,1.0
Shu | NaCoHCF,12,0.065,1.0
Shu | NaCoHCF,24,0.045,0.7825
Shu | NaCoHCF,36,0.055,0.7
Shu | NaCoHCF,48,0.22,0.7275
Shu | NaCoHCF,60,0.27,0.7525
Shu | NaCoHCF,72,0.2225,0.71
Shu | NaCoHCF,84,0.25,0.7075
Shu | NaCoHCF,96,0.3475,0.6225
Shu | NaCoHCF,100,0.3425,0.5625
Shu | NaFeHCF,12,0.015,1.0
Shu | NaFeHCF,24,0.225,0.995
Shu | NaFeHCF,36,0.715,1.0
Shu | NaFeHCF,48,0.02,1.0
Shu | NaFeHCF,60,0.0025,1.0
Shu | NaFeHCF,72,0.0,1.0
Shu | NaFeHCF,84,0.0,0.9975
Shu | NaFeHCF,96,0.0,1.0
