trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90,cov90
NaCl | NaCoHCF,SPI+TBU,14,43.46605503,59.12510118,,,100
NaCl | NaCoHCF,SPI+TBU,28,29.46605503,27.62831314,,,100
NaCl | NaCoHCF,SPI+TBU,42,15.46605503,14.18408787,,,100
NaCl | NaCoHCF,SPI+TBU,56,1.466055033,3.639270255,,,100
NaCl | NaCoHCF,SPI+TBU,57,0.466055033,2.245099534,,,100
NaCl | NaCoHCF,Lin,14,43.46605503,61.35979603,,,100
NaCl | NaCoHCF,Lin,28,29.46605503,32.01803174,,,100
NaCl | NaCoHCF,Lin,42,15.46605503,14.93418515,,,100
NaCl | NaCoHCF,Lin,56,1.466055033,2.853533984,,,100
NaCl | NaCoHCF,Lin,57,0.466055033,1.853533984,,,100
Shu | NaCoHCF,SPI+CBU (ours),14,71.70904688,68.42725533,41.1590824,95.69542825,86
Shu | NaCoHCF,SPI+CBU (ours),28,57.70904688,48.50549666,22.090374,74.92061932,86
Shu | NaCoHCF,SPI+CBU (ours),42,43.70904688,32.96758736,11.71583233,54.21934239,86
Shu | NaCoHCF,SPI+CBU (ours),56,29.70904688,23.84493365,5.68326147,42.00660584,86
Shu | NaCoHCF,SPI+CBU (ours),70,15.70904688,20.56600777,2.635620683,38.49639486,86
Shu | NaCoHCF,SPI+CBU (ours),84,1.709046884,10,0,20.12171617,86
Shu | NaCoHCF,SPI+CBU (ours),85,0.709046884,8,0,17.01062877,86
Shu | NaCoHCF,SPI+TBU,14,71.70904688,43.69429675,,,86
Shu | NaCoHCF,SPI+TBU,28,57.70904688,15.04705126,,,86
Shu | NaCoHCF,SPI+TBU,42,43.70904688,9.202941579,,,86
Shu | NaCoHCF,SPI+TBU,56,29.70904688,48.79070107,,,86
Shu | NaCoHCF,SPI+TBU,70,15.70904688,45.75001505,,,86
Shu | NaCoHCF,SPI+TBU,84,1.709046884,38,,,86
Shu | NaCoHCF,SPI+TBU,85,0.709046884,35,,,86
Shu | NaCoHCF,Lin,14,71.70904688,46.43549666,,,86
Shu | NaCoHCF,Lin,28,57.70904688,14.52634575,,,86
Shu | NaCoHCF,Lin,42,43.70904688,3.141610787,,,86
Shu | NaCoHCF,Lin,56,29.70904688,2.853533984,,,86
Shu | NaCoHCF,Lin,70,15.70904688,0,,,86
Shu | NaCoHCF,Lin,84,1.709046884,0,,,86
Shu | NaCoHCF,Lin,85,0.709046884,0,,,86
Shu | NaNiHCF,SPI+CBU (ours),14,64.15238524,60,30.33160255,89.66839745,100
Shu | NaNiHCF,SPI+CBU (ours),28,50.15238524,55.63856556,25.97016811,85.30696301,100
Shu | NaNiHCF,SPI+CBU (ours),42,36.15238524,42.75519951,29.87606711,55.63433192,100
Shu | NaNiHCF,SPI+CBU (ours),56,22.15238524,22.79299153,6.59788768,38.98809539,100
Shu | NaNiHCF,SPI+CBU (ours),70,8.15238524,8,0,21.85619874,100
Shu | NaNiHCF,SPI+CBU (ours),78,0.15238524,0.792991534,0,11.47348872,100
Shu | NaNiHCF,SPI+TBU,14,64.15238524,60.11407216,,,100
Shu | NaNiHCF,SPI+TBU,28,50.15238524,59,,,100
Shu | NaNiHCF,SPI+TBU,42,36.15238524,44.22908238,,,100
Shu | NaNiHCF,SPI+TBU,56,22.15238524,23,,,100
Shu | NaNiHCF,SPI+TBU,70,8.15238524,8,,,100
Shu | NaNiHCF,SPI+TBU,78,0.15238524,0,,,100
Shu | NaNiHCF,Lin,14,64.15238524,63.12050354,,,100
Shu | NaNiHCF,Lin,28,50.15238524,76,,,100
Shu | NaNiHCF,Lin,42,36.15238524,65.60743894,,,100
Shu | NaNiHCF,Lin,56,22.15238524,37,,,100
Shu | NaNiHCF,Lin,70,8.15238524,15,,,100
Shu | NaNiHCF,Lin,78,0.15238524,4.536643042,,,100
Hu pH 7 | KNiHCF,Log-Bayes,14,49.55591164,508.4472931,,,100
Hu pH 7 | KNiHCF,Log-Bayes,28,35.55591164,508.4472931,,,100
Hu pH 7 | KNiHCF,Log-Bayes,42,21.55591164,370.2160331,,,100
Hu pH 7 | KNiHCF,Log-Bayes,56,7.555911643,112.7091757,,,100
Hu pH 7 | KNiHCF,Log-Bayes,63,0.555911643,65.43792297,,,100
Hu pH 7 | NaMnHCF,Log-Bayes,14,45.29006408,474.3205126,,,100
Hu pH 7 | NaMnHCF,Log-Bayes,28,31.29006408,86.40242563,,,100
Hu pH 7 | NaMnHCF,Log-Bayes,42,17.29006408,30.47992855,,,100
Hu pH 7 | NaMnHCF,Log-Bayes,56,3.290064077,9.528800879,,,100
Hu pH 7 | NaMnHCF,Log-Bayes,59,0.290064077,5.877931524,,,100
Hu pH 9 | NaMnHCF,Log-Bayes,14,68.13767025,657.101362,,,100
Hu pH 9 | NaMnHCF,Log-Bayes,28,54.13767025,562.9215022,,,100
Hu pH 9 | NaMnHCF,Log-Bayes,42,40.13767025,209.9383971,,,100
Hu pH 9 | NaMnHCF,Log-Bayes,56,26.13767025,134.2802809,,,100
Hu pH 9 | NaMnHCF,Log-Bayes,70,12.13767025,87.47225902,,,100
Hu pH 9 | NaMnHCF,Log-Bayes,82,0.137670246,50.67543768,,,100
KCl | NaCoHCF,Log-Bayes,14,85.21920592,793.7536473,,,75
KCl | NaCoHCF,Log-Bayes,28,71.21920592,793.7536473,,,75
KCl | NaCoHCF,Log-Bayes,42,57.21920592,793.7536473,,,75
KCl | NaCoHCF,Log-Bayes,56,43.21920592,793.7536473,,,75
KCl | NaCoHCF,Log-Bayes,70,29.21920592,753.911997,,,75
KCl | NaCoHCF,Log-Bayes,84,15.21920592,281.8817267,,,75
KCl | NaCoHCF,Log-Bayes,98,1.219205916,127.7716864,,,75
KCl | NaCoHCF,Log-Bayes,99,0.219205916,120.8797499,,,75
KHCO3 | KNiHCF,Log-Bayes,14,49.55591164,508.4472931,,,100
KHCO3 | KNiHCF,Log-Bayes,28,35.55591164,508.4472931,,,100
KHCO3 | KNiHCF,Log-Bayes,42,21.55591164,370.2160331,,,100
KHCO3 | KNiHCF,Log-Bayes,56,7.555911643,112.7091757,,,100
KHCO3 | KNiHCF,Log-Bayes,63,0.555911643,65.43792297,,,100
KHCO3 | NaMnHCF,Log-Bayes,14,59.3442082,586.7536656,,,67
KHCO3 | NaMnHCF,Log-Bayes,28,45.3442082,586.7536656,,,67
KHCO3 | NaMnHCF,Log-Bayes,42,31.3442082,586.7536656,,,67
KHCO3 | NaMnHCF,Log-Bayes,56,17.3442082,586.7536656,,,67
KHCO3 | NaMnHCF,Log-Bayes,70,3.344208196,249.6672609,,,67
KHCO3 | NaMnHCF,Log-Bayes,73,0.344208196,184.6934577,,,67
NH4Cl | NaCoHCF,Log-Bayes,14,56.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Log-Bayes,28,42.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Log-Bayes,42,28.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Log-Bayes,56,14.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Log-Bayes,70,0.325358353,562.6028668,,,100
NaCl | NaCoHCF,Log-Bayes,14,43.46605503,459.7284403,,,100
NaCl | NaCoHCF,Log-Bayes,28,29.46605503,378.3882944,,,100
NaCl | NaCoHCF,Log-Bayes,42,15.46605503,116.5255855,,,100
NaCl | NaCoHCF,Log-Bayes,56,1.466055033,49.74741344,,,100
NaCl | NaCoHCF,Log-Bayes,57,0.466055033,45.46145425,,,100
Shu | NaCoHCF,Log-Bayes,14,71.70904688,171.4693414,,,86
Shu | NaCoHCF,Log-Bayes,28,57.70904688,44.96443614,,,86
Shu | NaCoHCF,Log-Bayes,42,43.70904688,24.33923931,,,86
Shu | NaCoHCF,Log-Bayes,56,29.70904688,29.87307532,,,86
Shu | NaCoHCF,Log-Bayes,70,15.70904688,22.66918187,,,86
Shu | NaCoHCF,Log-Bayes,84,1.709046884,12.83079991,,,86
Shu | NaCoHCF,Log-Bayes,85,0.709046884,11.53287078,,,86
Shu | NaNiHCF,Log-Bayes,14,64.15238524,625.2190819,,,100
Shu | NaNiHCF,Log-Bayes,28,50.15238524,625.2190819,,,100
Shu | NaNiHCF,Log-Bayes,42,36.15238524,625.2190819,,,100
Shu | NaNiHCF,Log-Bayes,56,22.15238524,625.2190819,,,100
Shu | NaNiHCF,Log-Bayes,70,8.15238524,226.9243651,,,100
Shu | NaNiHCF,Log-Bayes,78,0.15238524,120.3718746,,,100
Hu pH 7 | KNiHCF,Wiener,14,49.55591164,99.53215481,,,100
Hu pH 7 | KNiHCF,Weibull,14,49.55591164,53.09813565,,,100
Hu pH 7 | KNiHCF,Wiener,28,35.55591164,53.52731464,,,100
Hu pH 7 | KNiHCF,Weibull,28,35.55591164,39.35423156,,,100
Hu pH 7 | KNiHCF,Wiener,42,21.55591164,23.66641116,,,100
Hu pH 7 | KNiHCF,Weibull,42,21.55591164,17.84315191,,,100
