trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | KCuHCF,SPI+CBU (ours),12,88,93.0,49.63228039,136.3677196
Hu pH 7 | NaFeHCF,SPI+TBU,84,16,8.0,,
Hu pH 7 | NaFeHCF,SPI+TBU,96,4,0.0,,
Hu pH 7 | NaFeHCF,SPI+TBU,100,0,0.0,,
Hu pH 7 | NaFeHCF,Lin,12,88,134.9307173,,
Hu pH 7 | NaFeHCF,Lin,24,76,95.0,,
Hu pH 7 | NaFeHCF,Lin,36,64,62.71808091,,
Hu pH 7 | NaFeHCF,Lin,48,52,43.66405432,,
Hu pH 7 | NaFeHCF,Lin,60,40,28.98983134,,
Hu pH 7 | NaFeHCF,Lin,72,28,16.22378586,,
Hu pH 7 | NaFeHCF,Lin,84,16,4.989831337,,
Hu pH 7 | NaFeHCF,Lin,96,4,0.0,,
Hu pH 7 | NaFeHCF,Lin,100,0,0.0,,
Hu pH 7 | NaFeHCF,Log-Bayes,12,88,inf,,
Hu pH 7 | NaFeHCF,Log-Bayes,24,76,inf,,
Hu pH 7 | NaFeHCF,Log-Bayes,36,64,1118.582138,,
Hu pH 7 | NaFeHCF,Log-Bayes,48,52,441.1273703,,
Hu pH 7 | NaFeHCF,Log-Bayes,60,40,249.980203,,
Hu pH 7 | NaFeHCF,Log-Bayes,72,28,147.6723283,,
Hu pH 7 | NaFeHCF,Log-Bayes,84,16,88.0,,
Hu pH 7 | NaFeHCF,Log-Bayes,96,4,50.60232808,,
Hu pH 7 | NaFeHCF,Log-Bayes,100,0,41.0,,
Hu pH 7 | NaMnHCF,SPI+CBU (ours),12,88,87.14666454,49.1942888,125.0990403
Hu pH 7 | NaMnHCF,SPI+CBU (ours),24,76,73.0,38.25066211,107.7493379
Hu pH 7 | NaMnHCF,SPI+CBU (ours),36,64,61.0,29.60041175,92.39958825
Hu pH 7 | NaMnHCF,SPI+CBU (ours),48,52,49.86829236,23.6050093,76.13157543
Hu pH 7 | NaMnHCF,SPI+CBU (ours),60,40,40.0,14.72459202,65.27540798
Hu pH 7 | NaMnHCF,SPI+CBU (ours),72,28,27.0,5.428920076,48.57107992
Hu pH 7 | NaMnHCF,SPI+CBU (ours),84,16,16.43985817,0.0,34.69918658
Hu pH 7 | NaMnHCF,SPI+CBU (ours),96,4,6.0,0.0,20.74502467
Hu pH 7 | NaMnHCF,SPI+CBU (ours),100,0,4.876831374,0.0,16.63827995
Hu pH 7 | NaMnHCF,SPI+TBU,12,88,68.45840532,,
Hu pH 7 | NaMnHCF,SPI+TBU,24,76,53.49350241,,
Hu pH 7 | NaMnHCF,SPI+TBU,36,64,39.75471654,,
Hu pH 7 | NaMnHCF,SPI+TBU,48,52,43.32810865,,
Hu pH 7 | NaMnHCF,SPI+TBU,60,40,51.0,,
Hu pH 7 | NaMnHCF,SPI+TBU,72,28,38.0,,
Hu pH 7 | NaMnHCF,SPI+TBU,84,16,20.87683137,,
Hu pH 7 | NaMnHCF,SPI+TBU,96,4,8.876831374,,
Hu pH 7 | NaMnHCF,SPI+TBU,100,0,4.876831374,,
Hu pH 7 | NaMnHCF,Lin,12,88,64.82642004,,
Hu pH 7 | NaMnHCF,Lin,24,76,44.6593334,,
Hu pH 7 | NaMnHCF,Lin,36,64,32.8296667,,
Hu pH 7 | NaMnHCF,Lin,48,52,25.57616198,,
Hu pH 7 | NaMnHCF,Lin,60,40,23.76402352,,
Hu pH 7 | NaMnHCF,Lin,72,28,15.46433468,,
Hu pH 7 | NaMnHCF,Lin,84,16,8.0,,
Hu pH 7 | NaMnHCF,Lin,96,4,0.0,,
