trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
Hu pH 9 | KMnHCF,SPI+CBU (ours),12,88,84.0,48.67847207,119.3215279
Hu pH 9 | KMnHCF,SPI+CBU (ours),24,76,68.92099476,34.44386277,103.3981268
Hu pH 9 | KMnHCF,SPI+CBU (ours),36,64,57.72782602,26.17296131,89.28269072
Hu pH 9 | KMnHCF,SPI+CBU (ours),48,52,43.0,13.04974092,72.95025908
Hu pH 9 | KMnHCF,SPI+CBU (ours),60,40,31.0,6.224140829,55.77585917
Hu pH 9 | KMnHCF,SPI+CBU (ours),72,28,18.54193472,0.0,38.09966759
Hu pH 9 | KMnHCF,SPI+CBU (ours),84,16,7.0,0.0,22.61237906
Hu pH 9 | KMnHCF,SPI+CBU (ours),96,4,2.718080912,0.0,11.12830522
Hu pH 9 | KMnHCF,SPI+CBU (ours),100,0,7.632552017,0.0,28.06754451
Hu pH 9 | KMnHCF,SPI+TBU,12,88,62.21502241,,
Hu pH 9 | KMnHCF,SPI+TBU,24,76,31.79392854,,
Hu pH 9 | KMnHCF,SPI+TBU,36,64,20.27838617,,
Hu pH 9 | KMnHCF,SPI+TBU,48,52,12.1542955,,
Hu pH 9 | KMnHCF,SPI+TBU,60,40,6.901445675,,
Hu pH 9 | KMnHCF,SPI+TBU,72,28,0.942801005,,
Hu pH 9 | KMnHCF,SPI+TBU,84,16,0.0,,
Hu pH 9 | KMnHCF,SPI+TBU,96,4,0.0,,
Hu pH 9 | KMnHCF,SPI+TBU,100,0,0.0,,
Hu pH 9 | KMnHCF,Lin,12,88,73.0,,
Hu pH 9 | KMnHCF,Lin,24,76,38.97274852,,
Hu pH 9 | KMnHCF,Lin,36,64,18.3654343,,
Hu pH 9 | KMnHCF,Lin,48,52,6.837488346,,
Hu pH 9 | KMnHCF,Lin,60,40,0.0,,
Hu pH 9 | KMnHCF,Lin,72,28,0.0,,
Hu pH 9 | KMnHCF,Lin,84,16,0.0,,
Hu pH 9 | KMnHCF,Lin,96,4,0.0,,
Hu pH 9 | KMnHCF,Lin,100,0,0.0,,
Hu pH 9 | KMnHCF,Log-Bayes,12,88,561.5050401,,
Hu pH 9 | KMnHCF,Log-Bayes,24,76,84.39436217,,
Hu pH 9 | KMnHCF,Log-Bayes,36,64,50.0,,
Hu pH 9 | KMnHCF,Log-Bayes,48,52,32.73881391,,
Hu pH 9 | KMnHCF,Log-Bayes,60,40,20.56722458,,
Hu pH 9 | KMnHCF,Log-Bayes,72,28,8.97988789,,
Hu pH 9 | KMnHCF,Log-Bayes,84,16,-2.0,,
Hu pH 9 | KMnHCF,Log-Bayes,96,4,-11.0,,
Hu pH 9 | KMnHCF,Log-Bayes,100,0,-14.0,,
Hu pH 9 | KNiHCF,SPI+CBU (ours),12,88,89.0,50.96845043,127.0315496
Hu pH 9 | KNiHCF,SPI+CBU (ours),24,76,74.71808091,39.86609322,109.5700686
Hu pH 9 | KNiHCF,SPI+CBU (ours),36,64,63.28762408,31.70804466,94.8672035
Hu pH 9 | KNiHCF,SPI+CBU (ours),48,52,50.71808091,23.57979452,77.8563673
Hu pH 9 | KNiHCF,SPI+CBU (ours),60,40,38.71808091,13.56480354,63.87135828
Hu pH 9 | KNiHCF,SPI+CBU (ours),72,28,29.0,5.990415572,52.00958443
Hu pH 9 | KNiHCF,SPI+CBU (ours),84,16,16.43985817,0.0,33.78694601
Hu pH 9 | KNiHCF,SPI+CBU (ours),96,4,5.0,0.0,16.2756071
Hu pH 9 | KNiHCF,SPI+CBU (ours),100,0,3.0,0.0,10.43073215
Hu pH 9 | KNiHCF,SPI+TBU,12,88,94.7060256,,
Hu pH 9 | KNiHCF,SPI+TBU,24,76,81.78747494,,
Hu pH 9 | KNiHCF,SPI+TBU,36,64,67.0,,
Hu pH 9 | KNiHCF,SPI+TBU,48,52,57.89373747,,
Hu pH 9 | KNiHCF,SPI+TBU,60,40,48.0,,
Hu pH 9 | KNiHCF,SPI+TBU,72,28,33.78747494,,
Hu pH 9 | KNiHCF,SPI+TBU,84,16,19.52651036,,
Hu pH 9 | KNiHCF,SPI+TBU,96,4,4.439858171,,
Hu pH 9 | KNiHCF,SPI+TBU,100,0,0.439858171,,
Hu pH 9 | KNiHCF,Lin,12,88,90.19166556,,
Hu pH 9 | KNiHCF,Lin,24,76,66.54193472,,
Hu pH 9 | KNiHCF,Lin,36,64,49.96498865,,
Hu pH 9 | KNiHCF,Lin,48,52,37.96498865,,
Hu pH 9 | KNiHCF,Lin,60,40,32.92099476,,
Hu pH 9 | KNiHCF,Lin,72,28,20.96049738,,
Hu pH 9 | KNiHCF,Lin,84,16,11.36256646,,
Hu pH 9 | KNiHCF,Lin,96,4,0.0,,
Hu pH 9 | KNiHCF,Lin,100,0,0.0,,
Hu pH 9 | KNiHCF,Log-Bayes,12,88,inf,,
Hu pH 9 | KNiHCF,Log-Bayes,24,76,1631.8477,,
Hu pH 9 | KNiHCF,Log-Bayes,36,64,692.1641357,,
Hu pH 9 | KNiHCF,Log-Bayes,48,52,423.2086694,,
Hu pH 9 | KNiHCF,Log-Bayes,60,40,290.075975,,
Hu pH 9 | KNiHCF,Log-Bayes,72,28,198.8876704,,
Hu pH 9 | KNiHCF,Log-Bayes,84,16,124.9919493,,
Hu pH 9 | KNiHCF,Log-Bayes,96,4,74.65648377,,
Hu pH 9 | KNiHCF,Log-Bayes,100,0,61.54877472,,
Hu pH 9 | NaCoHCF,SPI+CBU (ours),12,88,110.5,87.1229919,133.8770081
Hu pH 9 | NaCoHCF,SPI+CBU (ours),24,76,59.76402352,48.74798512,70.78006192
Hu pH 9 | NaCoHCF,SPI+CBU (ours),36,64,47.0,37.85640661,56.14359339
Hu pH 9 | NaCoHCF,SPI+CBU (ours),48,52,36.49134497,24.65746229,48.32522765
Hu pH 9 | NaCoHCF,SPI+CBU (ours),60,40,25.0,15.38694703,34.61305297
Hu pH 9 | NaCoHCF,SPI+CBU (ours),72,28,13.22498173,4.876588087,21.57337538
Hu pH 9 | NaCoHCF,SPI+CBU (ours),84,16,2.711421037,0.0,9.067488258
Hu pH 9 | NaCoHCF,SPI+CBU (ours),96,4,1.0,0.999998265,1.000001735
Hu pH 9 | NaCoHCF,SPI+CBU (ours),100,0,3.974026849,0.0,18.14818192
Hu pH 9 | NaCoHCF,SPI+TBU,12,88,194.5,,
Hu pH 9 | NaCoHCF,SPI+TBU,24,76,42.90144567,,
Hu pH 9 | NaCoHCF,SPI+TBU,36,64,18.91874417,,
Hu pH 9 | NaCoHCF,SPI+TBU,48,52,18.90144567,,
Hu pH 9 | NaCoHCF,SPI+TBU,60,40,20.0,,
Hu pH 9 | NaCoHCF,SPI+TBU,72,28,16.0,,
Hu pH 9 | NaCoHCF,SPI+TBU,84,16,4.989831337,,
Hu pH 9 | NaCoHCF,SPI+TBU,96,4,0.0,,
Hu pH 9 | NaCoHCF,SPI+TBU,100,0,0.0,,
Hu pH 9 | NaCoHCF,Lin,12,88,138.0,,
Hu pH 9 | NaCoHCF,Lin,24,76,51.50943309,,
Hu pH 9 | NaCoHCF,Lin,36,64,20.76705035,,
Hu pH 9 | NaCoHCF,Lin,48,52,11.2747588,,
Hu pH 9 | NaCoHCF,Lin,60,40,4.0,,
Hu pH 9 | NaCoHCF,Lin,72,28,0.0,,
Hu pH 9 | NaCoHCF,Lin,84,16,0.0,,
Hu pH 9 | NaCoHCF,Lin,96,4,0.0,,
Hu pH 9 | NaCoHCF,Lin,100,0,0.0,,
Hu pH 9 | NaCoHCF,Log-Bayes,12,88,inf,,
Hu pH 9 | NaCoHCF,Log-Bayes,24,76,107.5039729,,
Hu pH 9 | NaCoHCF,Log-Bayes,36,64,40.85887367,,
Hu pH 9 | NaCoHCF,Log-Bayes,48,52,35.39305796,,
Hu pH 9 | NaCoHCF,Log-Bayes,60,40,28.67710862,,
Hu pH 9 | NaCoHCF,Log-Bayes,72,28,18.07542307,,
Hu pH 9 | NaCoHCF,Log-Bayes,84,16,6.453400781,,
Hu pH 9 | NaCoHCF,Log-Bayes,96,4,-3.0,,
Hu pH 9 | NaCoHCF,Log-Bayes,100,0,-6.0,,
Hu pH 9 | NaFeHCF,SPI+CBU (ours),12,88,93.0,49.63228039,136.3677196
Hu pH 9 | NaFeHCF,SPI+CBU (ours),24,76,81.0,37.63228039,124.3677196
Hu pH 9 | NaFeHCF,SPI+CBU (ours),36,64,69.0,25.63228039,112.3677196
Hu pH 9 | NaFeHCF,SPI+CBU (ours),48,52,57.0,13.63228039,100.3677196
Hu pH 9 | NaFeHCF,SPI+CBU (ours),60,40,20.22025963,20.2202579,20.22026137
Hu pH 9 | NaFeHCF,SPI+CBU (ours),72,28,21.72782602,0.0,50.23494692
Hu pH 9 | NaFeHCF,SPI+CBU (ours),84,16,8.0,0.0,29.78840142
Hu pH 9 | NaFeHCF,SPI+CBU (ours),96,4,6.0,0.0,26.29505102
Hu pH 9 | NaFeHCF,SPI+CBU (ours),100,0,8.567123448,0.0,30.03919891
Hu pH 9 | NaFeHCF,SPI+TBU,12,88,8.823412294,,
Hu pH 9 | NaFeHCF,SPI+TBU,24,76,0.754021589,,
Hu pH 9 | NaFeHCF,SPI+TBU,36,64,0.0,,
Hu pH 9 | NaFeHCF,SPI+TBU,48,52,0.0,,
Hu pH 9 | NaFeHCF,SPI+TBU,60,40,0.0,,
Hu pH 9 | NaFeHCF,SPI+TBU,72,28,0.0,,
Hu pH 9 | NaFeHCF,SPI+TBU,84,16,0.0,,
Hu pH 9 | NaFeHCF,SPI+TBU,96,4,0.0,,
Hu pH 9 | NaFeHCF,SPI+TBU,100,0,0.0,,
Hu pH 9 | NaFeHCF,Lin,12,88,80.52105183,,
Hu pH 9 | NaFeHCF,Lin,24,76,21.73292662,,
Hu pH 9 | NaFeHCF,Lin,36,64,2.805190559,,
Hu pH 9 | NaFeHCF,Lin,48,52,0.0,,
Hu pH 9 | NaFeHCF,Lin,60,40,0.0,,
Hu pH 9 | NaFeHCF,Lin,72,28,0.0,,
Hu pH 9 | NaFeHCF,Lin,84,16,0.0,,
Hu pH 9 | NaFeHCF,Lin,96,4,0.0,,
Hu pH 9 | NaFeHCF,Lin,100,0,0.0,,
Hu pH 9 | NaFeHCF,Log-Bayes,12,88,5.407776277,,
Hu pH 9 | NaFeHCF,Log-Bayes,24,76,-1.0,,
Hu pH 9 | NaFeHCF,Log-Bayes,36,64,-7.0,,
Hu pH 9 | NaFeHCF,Log-Bayes,48,52,-14.0,,
Hu pH 9 | NaFeHCF,Log-Bayes,60,40,-20.0,,
Hu pH 9 | NaFeHCF,Log-Bayes,72,28,-26.0,,
Hu pH 9 | NaFeHCF,Log-Bayes,84,16,-32.5,,
Hu pH 9 | NaFeHCF,Log-Bayes,96,4,-39.0,,
Hu pH 9 | NaFeHCF,Log-Bayes,100,0,-41.0,,
Hu pH 9 | NaMnHCF,SPI+CBU (ours),12,88,85.86829236,48.14228617,123.5942986
Hu pH 9 | NaMnHCF,SPI+CBU (ours),24,76,72.0,38.45776601,105.542234
Hu pH 9 | NaMnHCF,SPI+CBU (ours),36,64,61.0,31.11220969,90.88779031
Hu pH 9 | NaMnHCF,SPI+CBU (ours),48,52,52.0,22.52892489,81.47107511
Hu pH 9 | NaMnHCF,SPI+CBU (ours),60,40,43.0,18.22811465,67.77188535
Hu pH 9 | NaMnHCF,SPI+CBU (ours),72,28,37.0,13.18362111,60.81637889
Hu pH 9 | NaMnHCF,SPI+CBU (ours),84,16,29.0,8.883795303,49.1162047
Hu pH 9 | NaMnHCF,SPI+CBU (ours),96,4,17.36312203,0.192575514,34.53366855
Hu pH 9 | NaMnHCF,SPI+CBU (ours),100,0,12.0,0.0,25.19465043
Hu pH 9 | NaMnHCF,SPI+TBU,12,88,84.0,,
Hu pH 9 | NaMnHCF,SPI+TBU,24,76,65.76252837,,
Hu pH 9 | NaMnHCF,SPI+TBU,36,64,64.0,,
Hu pH 9 | NaMnHCF,SPI+TBU,48,52,68.17091329,,
Hu pH 9 | NaMnHCF,SPI+TBU,60,40,79.50328638,,
Hu pH 9 | NaMnHCF,SPI+TBU,72,28,86.8198711,,
Hu pH 9 | NaMnHCF,SPI+TBU,84,16,65.0,,
Hu pH 9 | NaMnHCF,SPI+TBU,96,4,34.0,,
Hu pH 9 | NaMnHCF,SPI+TBU,100,0,21.48127597,,
Hu pH 9 | NaMnHCF,Lin,12,88,71.0,,
Hu pH 9 | NaMnHCF,Lin,24,76,57.61940979,,
Hu pH 9 | NaMnHCF,Lin,36,64,48.74567248,,
Hu pH 9 | NaMnHCF,Lin,48,52,50.35904046,,
Hu pH 9 | NaMnHCF,Lin,60,40,49.0,,
Hu pH 9 | NaMnHCF,Lin,72,28,48.43553646,,
Hu pH 9 | NaMnHCF,Lin,84,16,43.94917945,,
Hu pH 9 | NaMnHCF,Lin,96,4,25.0,,
Hu pH 9 | NaMnHCF,Lin,100,0,17.0,,
Hu pH 9 | NaMnHCF,Log-Bayes,12,88,inf,,
Hu pH 9 | NaMnHCF,Log-Bayes,24,76,1839.272581,,
Hu pH 9 | NaMnHCF,Log-Bayes,36,64,1736.773508,,
Hu pH 9 | NaMnHCF,Log-Bayes,48,52,1607.411429,,
Hu pH 9 | NaMnHCF,Log-Bayes,60,40,1265.03196,,
Hu pH 9 | NaMnHCF,Log-Bayes,72,28,983.9787026,,
Hu pH 9 | NaMnHCF,Log-Bayes,84,16,639.1983385,,
Hu pH 9 | NaMnHCF,Log-Bayes,96,4,332.9563929,,
Hu pH 9 | NaMnHCF,Log-Bayes,100,0,254.6787002,,
Hu pH 9 | NaNiHCF,SPI+CBU (ours),12,88,94.7060256,56.71023172,132.7018195
Hu pH 9 | NaNiHCF,SPI+CBU (ours),24,76,87.0,59.47757248,114.5224275
Hu pH 9 | NaNiHCF,SPI+CBU (ours),36,64,77.36312203,53.80028935,100.9259547
Hu pH 9 | NaNiHCF,SPI+CBU (ours),48,52,61.50980975,41.70477685,81.31484264
Hu pH 9 | NaNiHCF,SPI+CBU (ours),60,40,42.19166556,25.31439148,59.06893964
Hu pH 9 | NaNiHCF,SPI+CBU (ours),72,28,25.86829236,13.90966542,37.82691931
Hu pH 9 | NaNiHCF,SPI+CBU (ours),84,16,12.0,3.297317683,20.70268232
Hu pH 9 | NaNiHCF,SPI+CBU (ours),96,4,1.868292364,0.0,6.205064325
Hu pH 9 | NaNiHCF,SPI+CBU (ours),100,0,0.0,0.0,1.734708784
Hu pH 9 | NaNiHCF,SPI+TBU,12,88,150.0,,
Hu pH 9 | NaNiHCF,SPI+TBU,24,76,219.1666196,,
Hu pH 9 | NaNiHCF,SPI+TBU,36,64,303.0,,
Hu pH 9 | NaNiHCF,SPI+TBU,48,52,142.5,,
Hu pH 9 | NaNiHCF,SPI+TBU,60,40,47.63255202,,
Hu pH 9 | NaNiHCF,SPI+TBU,72,28,24.0,,
Hu pH 9 | NaNiHCF,SPI+TBU,84,16,9.727826019,,
Hu pH 9 | NaNiHCF,SPI+TBU,96,4,0.0,,
Hu pH 9 | NaNiHCF,SPI+TBU,100,0,0.0,,
Hu pH 9 | NaNiHCF,Lin,12,88,162.0,,
Hu pH 9 | NaNiHCF,Lin,24,76,107.155572,,
Hu pH 9 | NaNiHCF,Lin,36,64,89.75582721,,
Hu pH 9 | NaNiHCF,Lin,48,52,53.0,,
Hu pH 9 | NaNiHCF,Lin,60,40,28.0,,
Hu pH 9 | NaNiHCF,Lin,72,28,14.71142104,,
Hu pH 9 | NaNiHCF,Lin,84,16,4.0,,
Hu pH 9 | NaNiHCF,Lin,96,4,0.0,,
Hu pH 9 | NaNiHCF,Lin,100,0,0.0,,
Hu pH 9 | NaNiHCF,Log-Bayes,12,88,207.0539135,,
Hu pH 9 | NaNiHCF,Log-Bayes,24,76,592.2420856,,
Hu pH 9 | NaNiHCF,Log-Bayes,36,64,1018.025932,,
Hu pH 9 | NaNiHCF,Log-Bayes,48,52,425.5593669,,
Hu pH 9 | NaNiHCF,Log-Bayes,60,40,195.8749178,,
Hu pH 9 | NaNiHCF,Log-Bayes,72,28,114.0,,
Hu pH 9 | NaNiHCF,Log-Bayes,84,16,69.47457014,,
Hu pH 9 | NaNiHCF,Log-Bayes,96,4,39.32891777,,
Hu pH 9 | NaNiHCF,Log-Bayes,100,0,31.49422428,,
KCl | KCuHCF,SPI+CBU (ours),12,88,83.36256646,49.39004675,117.3350862
KCl | KCuHCF,SPI+CBU (ours),24,76,71.36256646,33.41019073,109.3149422
KCl | KCuHCF,SPI+CBU (ours),36,64,60.0,28.84377681,91.15622319
KCl | KCuHCF,SPI+CBU (ours),48,52,50.71808091,25.14103243,76.29512939
KCl | KCuHCF,SPI+CBU (ours),60,40,40.43985817,17.10170835,63.77800799
KCl | KCuHCF,SPI+CBU (ours),72,28,31.0,8.702968883,53.29703112
KCl | KCuHCF,SPI+CBU (ours),84,16,20.87683137,1.663836195,40.08982655
KCl | KCuHCF,SPI+CBU (ours),96,4,7.987013424,0.0,25.7701147
KCl | KCuHCF,SPI+CBU (ours),100,0,5.787474935,0.0,19.28363229
KCl | KCuHCF,SPI+TBU,12,88,61.57616198,,
KCl | KCuHCF,SPI+TBU,24,76,37.89324633,,
KCl | KCuHCF,SPI+TBU,36,64,39.50943309,,
KCl | KCuHCF,SPI+TBU,48,52,53.31197558,,
KCl | KCuHCF,SPI+TBU,60,40,64.33664568,,
KCl | KCuHCF,SPI+TBU,72,28,77.0,,
KCl | KCuHCF,SPI+TBU,84,16,54.0,,
KCl | KCuHCF,SPI+TBU,96,4,24.43553646,,
KCl | KCuHCF,SPI+TBU,100,0,17.0,,
KCl | KCuHCF,Lin,12,88,65.2467512,,
KCl | KCuHCF,Lin,24,76,37.89324633,,
KCl | KCuHCF,Lin,36,64,26.70170637,,
KCl | KCuHCF,Lin,48,52,21.85684533,,
KCl | KCuHCF,Lin,60,40,21.61940979,,
KCl | KCuHCF,Lin,72,28,19.66405432,,
KCl | KCuHCF,Lin,84,16,12.0,,
KCl | KCuHCF,Lin,96,4,2.718080912,,
KCl | KCuHCF,Lin,100,0,0.0,,
KCl | KCuHCF,Log-Bayes,12,88,453.7166657,,
KCl | KCuHCF,Log-Bayes,24,76,97.61336298,,
KCl | KCuHCF,Log-Bayes,36,64,112.0044276,,
KCl | KCuHCF,Log-Bayes,48,52,142.0210586,,
KCl | KCuHCF,Log-Bayes,60,40,150.2275428,,
KCl | KCuHCF,Log-Bayes,72,28,144.2885871,,
KCl | KCuHCF,Log-Bayes,84,16,115.4911999,,
KCl | KCuHCF,Log-Bayes,96,4,72.76576071,,
KCl | KCuHCF,Log-Bayes,100,0,59.94254737,,
KCl | KFeHCF,SPI+CBU (ours),12,88,106.0,78.39272437,133.6072756
KCl | KFeHCF,SPI+CBU (ours),24,76,77.0,49.69807192,104.3019281
KCl | KFeHCF,SPI+CBU (ours),36,64,52.6068086,31.23259136,73.98102583
KCl | KFeHCF,SPI+CBU (ours),48,52,37.11249087,25.28144246,48.94353927
KCl | KFeHCF,SPI+CBU (ours),60,40,24.49134497,15.11303117,33.86965877
KCl | KFeHCF,SPI+CBU (ours),72,28,13.0,4.651606354,21.34839365
KCl | KFeHCF,SPI+CBU (ours),84,16,2.711421037,0.0,9.224085957
KCl | KFeHCF,SPI+CBU (ours),96,4,0.0,0.0,0.726946688
KCl | KFeHCF,SPI+CBU (ours),100,0,3.0,0.0,12.74116625
KCl | KFeHCF,SPI+TBU,12,88,210.7520148,,
KCl | KFeHCF,SPI+TBU,24,76,106.0,,
KCl | KFeHCF,SPI+TBU,36,64,40.08254004,,
KCl | KFeHCF,SPI+TBU,48,52,21.25550111,,
KCl | KFeHCF,SPI+TBU,60,40,11.07524348,,
KCl | KFeHCF,SPI+TBU,72,28,6.845094224,,
KCl | KFeHCF,SPI+TBU,84,16,0.491344969,,
KCl | KFeHCF,SPI+TBU,96,4,0.0,,
KCl | KFeHCF,SPI+TBU,100,0,0.0,,
KCl | KFeHCF,Lin,12,88,196.3174453,,
KCl | KFeHCF,Lin,24,76,82.3530128,,
KCl | KFeHCF,Lin,36,64,32.6593334,,
KCl | KFeHCF,Lin,48,52,14.43066423,,
KCl | KFeHCF,Lin,60,40,3.51953971,,
KCl | KFeHCF,Lin,72,28,0.0,,
KCl | KFeHCF,Lin,84,16,0.0,,
KCl | KFeHCF,Lin,96,4,0.0,,
KCl | KFeHCF,Lin,100,0,0.0,,
KCl | KFeHCF,Log-Bayes,12,88,1055.336587,,
KCl | KFeHCF,Log-Bayes,24,76,135.0701562,,
KCl | KFeHCF,Log-Bayes,36,64,58.22204253,,
KCl | KFeHCF,Log-Bayes,48,52,35.80907715,,
KCl | KFeHCF,Log-Bayes,60,40,21.13461738,,
KCl | KFeHCF,Log-Bayes,72,28,11.16382503,,
KCl | KFeHCF,Log-Bayes,84,16,1.252752326,,
KCl | KFeHCF,Log-Bayes,96,4,-7.0,,
KCl | KFeHCF,Log-Bayes,100,0,-11.0,,
KCl | KMnHCF,SPI+CBU (ours),12,88,93.0,49.63228039,136.3677196
KCl | KMnHCF,SPI+CBU (ours),24,76,81.0,37.63228039,124.3677196
KCl | KMnHCF,SPI+CBU (ours),36,64,69.0,25.63228039,112.3677196
KCl | KMnHCF,SPI+CBU (ours),48,52,57.0,13.63228039,100.3677196
KCl | KMnHCF,SPI+CBU (ours),60,40,45.0,1.632280392,88.36771961
KCl | KMnHCF,SPI+CBU (ours),72,28,33.0,0.0,76.36771961
KCl | KMnHCF,SPI+CBU (ours),84,16,21.0,0.0,60.89830204
KCl | KMnHCF,SPI+CBU (ours),96,4,6.850203792,0.0,17.24743304
KCl | KMnHCF,SPI+CBU (ours),100,0,5.787474935,0.0,21.19416337
KCl | KMnHCF,SPI+TBU,12,88,0.831843952,,
KCl | KMnHCF,SPI+TBU,24,76,0.0,,
KCl | KMnHCF,SPI+TBU,36,64,0.0,,
KCl | KMnHCF,SPI+TBU,48,52,0.0,,
KCl | KMnHCF,SPI+TBU,60,40,0.0,,
KCl | KMnHCF,SPI+TBU,72,28,0.0,,
KCl | KMnHCF,SPI+TBU,84,16,0.0,,
KCl | KMnHCF,SPI+TBU,96,4,0.0,,
KCl | KMnHCF,SPI+TBU,100,0,0.0,,
KCl | KMnHCF,Lin,12,88,54.90144567,,
KCl | KMnHCF,Lin,24,76,8.963442486,,
KCl | KMnHCF,Lin,36,64,0.0,,
KCl | KMnHCF,Lin,48,52,0.0,,
KCl | KMnHCF,Lin,60,40,0.0,,
KCl | KMnHCF,Lin,72,28,0.0,,
KCl | KMnHCF,Lin,84,16,0.0,,
KCl | KMnHCF,Lin,96,4,0.0,,
KCl | KMnHCF,Lin,100,0,0.0,,
KCl | KMnHCF,Log-Bayes,12,88,0.0,,
KCl | KMnHCF,Log-Bayes,24,76,-7.0,,
KCl | KMnHCF,Log-Bayes,36,64,-14.0,,
KCl | KMnHCF,Log-Bayes,48,52,-21.0,,
KCl | KMnHCF,Log-Bayes,60,40,-29.0,,
KCl | KMnHCF,Log-Bayes,72,28,-37.0,,
KCl | KMnHCF,Log-Bayes,84,16,-44.0,,
KCl | KMnHCF,Log-Bayes,96,4,-52.0,,
KCl | KMnHCF,Log-Bayes,100,0,-54.0,,
KCl | KNiHCF,SPI+CBU (ours),12,88,86.35904046,51.09611773,121.6219632
KCl | KNiHCF,SPI+CBU (ours),24,76,75.0,42.28577543,107.7142246
KCl | KNiHCF,SPI+CBU (ours),36,64,61.86829236,31.06970446,92.66688027
KCl | KNiHCF,SPI+CBU (ours),48,52,47.36256646,21.0071563,73.71797662
KCl | KNiHCF,SPI+CBU (ours),60,40,32.1211089,6.257000153,57.98521765
KCl | KNiHCF,SPI+CBU (ours),72,28,18.0,0.070145067,35.92985493
KCl | KNiHCF,SPI+CBU (ours),84,16,5.762528374,0.0,19.13528153
KCl | KNiHCF,SPI+CBU (ours),96,4,1.868292364,0.0,7.080730816
KCl | KNiHCF,SPI+CBU (ours),100,0,3.974026849,0.0,15.24963395
KCl | KNiHCF,SPI+TBU,12,88,62.0,,
KCl | KNiHCF,SPI+TBU,24,76,55.0,,
KCl | KNiHCF,SPI+TBU,36,64,40.0,,
KCl | KNiHCF,SPI+TBU,48,52,29.2467512,,
KCl | KNiHCF,SPI+TBU,60,40,16.82642004,,
KCl | KNiHCF,SPI+TBU,72,28,5.0,,
KCl | KNiHCF,SPI+TBU,84,16,0.0,,
KCl | KNiHCF,SPI+TBU,96,4,0.0,,
KCl | KNiHCF,SPI+TBU,100,0,0.0,,
KCl | KNiHCF,Lin,12,88,43.89696427,,
KCl | KNiHCF,Lin,24,76,40.0,,
KCl | KNiHCF,Lin,36,64,36.94280101,,
KCl | KNiHCF,Lin,48,52,32.22025963,,
KCl | KNiHCF,Lin,60,40,19.5297047,,
KCl | KNiHCF,Lin,72,28,10.0,,
KCl | KNiHCF,Lin,84,16,0.0,,
KCl | KNiHCF,Lin,96,4,0.0,,
KCl | KNiHCF,Lin,100,0,0.0,,
KCl | KNiHCF,Log-Bayes,12,88,inf,,
KCl | KNiHCF,Log-Bayes,24,76,inf,,
KCl | KNiHCF,Log-Bayes,36,64,inf,,
KCl | KNiHCF,Log-Bayes,48,52,1509.514456,,
KCl | KNiHCF,Log-Bayes,60,40,517.5256541,,
KCl | KNiHCF,Log-Bayes,72,28,182.2965216,,
KCl | KNiHCF,Log-Bayes,84,16,90.97664458,,
KCl | KNiHCF,Log-Bayes,96,4,48.53817071,,
KCl | KNiHCF,Log-Bayes,100,0,39.34028805,,
KCl | NaCoHCF,SPI+CBU (ours),12,88,78.54193472,45.36605049,111.717819
KCl | NaCoHCF,SPI+CBU (ours),24,76,70.54166298,37.7928864,103.2904395
KCl | NaCoHCF,SPI+CBU (ours),36,64,58.54166298,31.25306445,85.8302615
KCl | NaCoHCF,SPI+CBU (ours),48,52,46.54166298,22.18410366,70.89922229
KCl | NaCoHCF,SPI+CBU (ours),60,40,37.0,12.90921591,61.09078409
KCl | NaCoHCF,SPI+CBU (ours),72,28,24.0,5.237342144,42.76265786
KCl | NaCoHCF,SPI+CBU (ours),84,16,12.19059784,0.0,28.75293568
KCl | NaCoHCF,SPI+CBU (ours),96,4,3.575248158,0.0,15.29304098
KCl | NaCoHCF,SPI+CBU (ours),100,0,3.0,0.0,10.43073215
KCl | NaCoHCF,SPI+TBU,12,88,42.83748835,,
KCl | NaCoHCF,SPI+TBU,24,76,45.85684533,,
KCl | NaCoHCF,SPI+TBU,36,64,51.0,,
KCl | NaCoHCF,SPI+TBU,48,52,52.21992909,,
KCl | NaCoHCF,SPI+TBU,60,40,45.39373747,,
KCl | NaCoHCF,SPI+TBU,72,28,29.0,,
KCl | NaCoHCF,SPI+TBU,84,16,16.0,,
KCl | NaCoHCF,SPI+TBU,96,4,2.718080912,,
KCl | NaCoHCF,SPI+TBU,100,0,0.0,,
KCl | NaCoHCF,Lin,12,88,38.73238912,,
KCl | NaCoHCF,Lin,24,76,32.76705035,,
KCl | NaCoHCF,Lin,36,64,38.42971503,,
KCl | NaCoHCF,Lin,48,52,43.16405432,,
KCl | NaCoHCF,Lin,60,40,31.32810865,,
KCl | NaCoHCF,Lin,72,28,27.28762408,,
KCl | NaCoHCF,Lin,84,16,15.0,,
KCl | NaCoHCF,Lin,96,4,3.0,,
KCl | NaCoHCF,Lin,100,0,0.0,,
KCl | NaCoHCF,Log-Bayes,12,88,1366.694189,,
KCl | NaCoHCF,Log-Bayes,24,76,1833.783037,,
KCl | NaCoHCF,Log-Bayes,36,64,inf,,
KCl | NaCoHCF,Log-Bayes,48,52,inf,,
KCl | NaCoHCF,Log-Bayes,60,40,1450.491973,,
KCl | NaCoHCF,Log-Bayes,72,28,539.9709683,,
KCl | NaCoHCF,Log-Bayes,84,16,258.0798546,,
