panel,x,acc_noGM_mean,acc_noGM_sd,acc_GM_mean,acc_GM_sd
Task 3 (Urea 86%),31.7,0.0,,0.935,
Task 3 (Urea 86%),31.9,0.022,,0.922,
Task 3 (Urea 86%),32.8,0.0,,0.828,
Task 3 (Urea 86%),35.6,0.0,,0.91,
Task 3 (Urea 86%),35.9,0.005,,0.878,
Task 3 (Urea 86%),36.9,0.0,,0.835,
Task 3 (Urea 86%),39.6,0.0,,0.878,
Task 3 (Urea 86%),39.8,0.0,,0.86,
Task 3 (Urea 86%),41.0,0.0,,0.875,
Task 3 (Urea 86%),43.6,0.0,,0.87,
Task 3 (Urea 86%),43.8,0.0,,0.81,
Task 3 (Urea 86%),45.1,0.0,,0.905,
Task 3 (Urea 86%),47.5,0.0,,0.868,
Task 3 (Urea 86%),47.8,0.0,,0.885,
Task 3 (Urea 86%),49.2,0.0,,0.925,
Task 3 (Urea 86%),51.5,0.0,,0.875,
Task 3 (Urea 86%),51.8,0.0,,0.885,
Task 3 (Urea 86%),53.3,0.002,,0.928,
Task 3 (Urea 86%),55.5,0.0,,0.93,
Task 3 (Urea 86%),55.8,0.0,,0.918,
Task 3 (Urea 86%),57.4,0.055,,0.932,
Task 3 (Urea 86%),59.4,0.0,,0.94,
Task 3 (Urea 86%),59.8,0.0,,0.902,
Task 3 (Urea 86%),61.5,0.478,,0.975,
Task 3 (Urea 86%),63.4,0.018,,0.938,
Task 3 (Urea 86%),63.7,0.0,,0.928,
Task 3 (Urea 86%),65.6,0.92,,0.988,
Task 3 (Urea 86%),67.3,0.04,,0.938,
Task 3 (Urea 86%),67.7,0.015,,0.932,
Task 3 (Urea 86%),69.7,0.97,,1.0,
Task 3 (Urea 86%),71.3,0.108,,0.96,
Task 3 (Urea 86%),71.7,0.028,,0.9,
Task 3 (Urea 86%),73.9,0.95,,0.992,
Task 3 (Urea 86%),75.3,0.415,,0.975,
Task 3 (Urea 86%),75.7,0.025,,0.928,
Task 3 (Urea 86%),78.0,0.862,,0.978,
Task 3 (Urea 86%),79.2,0.622,,0.955,
Task 3 (Urea 86%),79.7,0.055,,0.928,
Task 3 (Urea 86%),82.1,0.715,,0.918,
Task 3 (Urea 86%),83.2,0.782,,0.98,
Task 3 (Urea 86%),83.7,0.092,,0.912,
Task 3 (Urea 86%),86.2,0.662,,0.76,
Task 3 (Urea 86%),87.1,0.852,,0.972,
Task 3 (Urea 86%),87.6,0.178,,0.928,
Task 3 (Urea 86%),90.3,0.55,,1.0,
Task 3 (Urea 86%),91.1,0.778,,0.885,
Task 3 (Urea 86%),91.6,0.235,,0.94,
Task 3 (Urea 86%),94.4,0.348,,1.0,
Task 3 (Urea 86%),95.1,0.588,,0.652,
Task 3 (Urea 86%),95.6,0.28,,0.945,
Task 3 (Urea 86%),98.5,0.095,,1.0,
Task 3 (Urea 86%),99.0,0.448,,0.502,
Task 3 (Urea 86%),99.5,0.365,,0.83,
Task 3 (Urea 86%),99.6,0.3165,0.0445477272147524,0.944,0.0084852813742385
Task 3 (Urea 86%),99.7,0.028,,1.0,
Task 3 (Urea 90%),3.7,0.705,,0.642,
Task 3 (Urea 90%),4.0,0.962,,0.955,
Task 3 (Urea 90%),4.5,0.98,,0.972,
Task 3 (Urea 90%),7.4,0.642,,0.915,
Task 3 (Urea 90%),8.1,0.958,,0.955,
Task 3 (Urea 90%),8.9,0.948,,0.978,
Task 3 (Urea 90%),11.2,0.698,,0.942,
Task 3 (Urea 90%),12.1,0.882,,0.968,
Task 3 (Urea 90%),13.4,0.945,,0.962,
Task 3 (Urea 90%),14.9,0.74,,0.988,
Task 3 (Urea 90%),16.2,0.905,,0.935,
Task 3 (Urea 90%),17.8,0.905,,0.958,
Task 3 (Urea 90%),18.6,0.818,,0.985,
Task 3 (Urea 90%),20.2,0.875,,0.942,
Task 3 (Urea 90%),22.3,0.886,0.0084852813742385,0.9865,0.0120208152801713
Task 3 (Urea 90%),24.3,0.85,,0.952,
Task 3 (Urea 90%),26.0,0.855,,1.0,
Task 3 (Urea 90%),26.7,0.888,,0.988,
Task 3 (Urea 90%),28.3,0.835,,0.97,
Task 3 (Urea 90%),29.8,0.675,,0.998,
Task 3 (Urea 90%),31.2,0.872,,0.978,
Task 3 (Urea 90%),32.3,0.818,,0.968,
Task 3 (Urea 90%),33.5,0.49,,0.992,
Task 3 (Urea 90%),35.7,0.752,,0.965,
Task 3 (Urea 90%),36.4,0.748,,0.975,
Task 3 (Urea 90%),37.2,0.395,,0.968,
Task 3 (Urea 90%),40.1,0.402,,0.902,
Task 3 (Urea 90%),40.4,0.702,,0.95,
Task 3 (Urea 90%),40.9,0.525,,0.982,
