trajectory,method,cycle,actual_retention,pred_retention
KHCO3 | NaMnHCF,Log-Bayes,28,94.56804462,95.89712112
KHCO3 | NaMnHCF,Log-Bayes,42,91.95829231,93.5324566
KHCO3 | NaMnHCF,Log-Bayes,56,88.63095308,91.16682697
KHCO3 | NaMnHCF,Log-Bayes,70,81.70641923,87.98637023
KHCO3 | NaMnHCF,Log-Bayes,73,80.16985615,87.11751995
NH4Cl | NaCoHCF,Log-Bayes,14,93.68553538,93.26913922
NH4Cl | NaCoHCF,Log-Bayes,28,90.20032923,94.6451405
NH4Cl | NaCoHCF,Log-Bayes,42,90.22220615,92.18450821
NH4Cl | NaCoHCF,Log-Bayes,56,86.41429077,90.21465671
NH4Cl | NaCoHCF,Log-Bayes,70,80.11043538,87.15588351
NaCl | NaCoHCF,Log-Bayes,14,96.03097615,96.86051383
NaCl | NaCoHCF,Log-Bayes,28,89.4695,91.58578319
NaCl | NaCoHCF,Log-Bayes,42,85.86482692,87.55268899
NaCl | NaCoHCF,Log-Bayes,56,80.66021462,84.24212684
NaCl | NaCoHCF,Log-Bayes,57,80.20698615,83.96918149
Shu | NaCoHCF,Log-Bayes,14,90.60858,91.14182657
Shu | NaCoHCF,Log-Bayes,28,84.49637154,85.62933
Shu | NaCoHCF,Log-Bayes,42,83.63598077,82.80995942
Shu | NaCoHCF,Log-Bayes,56,83.90580538,82.32208475
Shu | NaCoHCF,Log-Bayes,70,82.12486,81.47008583
Shu | NaCoHCF,Log-Bayes,84,80.27214923,80.72902173
Shu | NaCoHCF,Log-Bayes,85,80.10249,80.65365552
Shu | NaNiHCF,Log-Bayes,14,99.39497769,99.45795414
Shu | NaNiHCF,Log-Bayes,28,96.59603769,98.07218147
Shu | NaNiHCF,Log-Bayes,42,92.66949385,95.30404899
Shu | NaNiHCF,Log-Bayes,56,87.06590231,91.79795919
Shu | NaNiHCF,Log-Bayes,70,82.69223077,88.18068682
Shu | NaNiHCF,Log-Bayes,78,80.03723615,86.08661588
Hu pH 7 | KNiHCF,Wiener,14,97.64859615,97.60060221
Hu pH 7 | KNiHCF,Weibull,14,97.64859615,97.31559353
Hu pH 7 | KNiHCF,Wiener,28,92.47375692,93.59983573
Hu pH 7 | KNiHCF,Weibull,28,92.47375692,93.53245766
Hu pH 7 | KNiHCF,Wiener,42,87.26530538,87.77484339
Hu pH 7 | KNiHCF,Weibull,42,87.26530538,87.64385559
Hu pH 7 | KNiHCF,Wiener,56,82.97362538,82.92808478
Hu pH 7 | KNiHCF,Weibull,56,82.97362538,82.00877381
Hu pH 7 | KNiHCF,Wiener,63,80.20735462,80.53416542
Hu pH 7 | KNiHCF,Weibull,63,80.20735462,79.23546329
Hu pH 7 | NaMnHCF,Wiener,14,93.55977846,93.79258014
Hu pH 7 | NaMnHCF,Weibull,14,93.55977846,93.89120478
Hu pH 7 | NaMnHCF,Wiener,28,86.15354154,85.53275422
Hu pH 7 | NaMnHCF,Weibull,28,86.15354154,85.52055429
Hu pH 7 | NaMnHCF,Wiener,42,82.09298385,80.49796255
Hu pH 7 | NaMnHCF,Weibull,42,82.09298385,79.60512961
Hu pH 7 | NaMnHCF,Wiener,56,80.65910692,77.7493487
Hu pH 7 | NaMnHCF,Weibull,56,80.65910692,76.05265502
Hu pH 7 | NaMnHCF,Wiener,59,80.09920615,77.28893795
Hu pH 7 | NaMnHCF,Weibull,59,80.09920615,75.47110164
Hu pH 9 | NaMnHCF,Wiener,14,95.89890692,95.97566971
Hu pH 9 | NaMnHCF,Weibull,14,95.89890692,96.09092206
Hu pH 9 | NaMnHCF,Wiener,28,90.00239385,90.08041054
Hu pH 9 | NaMnHCF,Weibull,28,90.00239385,90.63517949
Hu pH 9 | NaMnHCF,Wiener,42,87.57067615,86.3327501
Hu pH 9 | NaMnHCF,Weibull,42,87.57067615,86.33487387
Hu pH 9 | NaMnHCF,Wiener,56,85.29028385,83.87890383
Hu pH 9 | NaMnHCF,Weibull,56,85.29028385,83.37845863
Hu pH 9 | NaMnHCF,Wiener,70,83.19146538,81.72516345
Hu pH 9 | NaMnHCF,Weibull,70,83.19146538,80.9446068
Hu pH 9 | NaMnHCF,Wiener,82,80.05147385,79.65150336
Hu pH 9 | NaMnHCF,Weibull,82,80.05147385,78.85302873
KCl | NaCoHCF,Wiener,14,95.61816846,95.6960931
KCl | NaCoHCF,Weibull,14,95.61816846,96.03139534
KCl | NaCoHCF,Wiener,28,94.24000154,93.16714542
KCl | NaCoHCF,Weibull,28,94.24000154,93.41573031
KCl | NaCoHCF,Wiener,42,92.25076769,92.01838789
KCl | NaCoHCF,Weibull,42,92.25076769,92.20400921
KCl | NaCoHCF,Wiener,56,89.46770077,89.72688007
KCl | NaCoHCF,Weibull,56,89.46770077,90.31436723
KCl | NaCoHCF,Wiener,70,85.99577538,87.06731655
KCl | NaCoHCF,Weibull,70,85.99577538,88.13317047
KCl | NaCoHCF,Wiener,84,82.95049,83.79654064
KCl | NaCoHCF,Weibull,84,82.95049,85.50394014
KCl | NaCoHCF,Wiener,98,80.18900462,80.72718039
KCl | NaCoHCF,Weibull,98,80.18900462,82.8620211
KCl | NaCoHCF,Wiener,99,80.03775923,80.51801227
KCl | NaCoHCF,Weibull,99,80.03775923,82.67544189
KHCO3 | KNiHCF,Wiener,14,97.64859615,97.60060221
KHCO3 | KNiHCF,Weibull,14,97.64859615,97.31559353
KHCO3 | KNiHCF,Wiener,28,92.47375692,93.59983573
KHCO3 | KNiHCF,Weibull,28,92.47375692,93.53245766
KHCO3 | KNiHCF,Wiener,42,87.26530538,87.77484339
KHCO3 | KNiHCF,Weibull,42,87.26530538,87.64385559
KHCO3 | KNiHCF,Wiener,56,82.97362538,82.92808478
KHCO3 | KNiHCF,Weibull,56,82.97362538,82.00877381
KHCO3 | KNiHCF,Wiener,63,80.20735462,80.53416542
KHCO3 | KNiHCF,Weibull,63,80.20735462,79.23546329
KHCO3 | NaMnHCF,Wiener,14,98.16786769,98.15960098
KHCO3 | NaMnHCF,Weibull,14,98.16786769,97.77504238
KHCO3 | NaMnHCF,Wiener,28,94.56804462,94.88394201
KHCO3 | NaMnHCF,Weibull,28,94.56804462,94.16627075
KHCO3 | NaMnHCF,Wiener,42,91.95829231,91.9120451
KHCO3 | NaMnHCF,Weibull,42,91.95829231,90.60112341
KHCO3 | NaMnHCF,Wiener,56,88.63095308,88.87076626
KHCO3 | NaMnHCF,Weibull,56,88.63095308,87.11417496
KHCO3 | NaMnHCF,Wiener,70,81.70641923,84.45622225
KHCO3 | NaMnHCF,Weibull,70,81.70641923,82.72114641
KHCO3 | NaMnHCF,Wiener,73,80.16985615,83.21187943
KHCO3 | NaMnHCF,Weibull,73,80.16985615,81.5588905
NH4Cl | NaCoHCF,Wiener,14,93.68553538,94.51778843
NH4Cl | NaCoHCF,Weibull,14,93.68553538,93.68553538
NH4Cl | NaCoHCF,Wiener,28,90.20032923,95.04790803
NH4Cl | NaCoHCF,Weibull,28,90.20032923,95.58578615
NH4Cl | NaCoHCF,Wiener,42,90.22220615,91.37384532
NH4Cl | NaCoHCF,Weibull,42,90.22220615,95.58578615
NH4Cl | NaCoHCF,Wiener,56,86.41429077,88.65591373
NH4Cl | NaCoHCF,Weibull,56,86.41429077,91.1707636
NH4Cl | NaCoHCF,Wiener,70,80.11043538,84.23195763
NH4Cl | NaCoHCF,Weibull,70,80.11043538,88.80562532
NaCl | NaCoHCF,Wiener,14,96.03097615,96.32855083
NaCl | NaCoHCF,Weibull,14,96.03097615,95.87239773
NaCl | NaCoHCF,Wiener,28,89.4695,89.54370929
NaCl | NaCoHCF,Weibull,28,89.4695,88.5686064
NaCl | NaCoHCF,Wiener,42,85.86482692,84.6644249
NaCl | NaCoHCF,Weibull,42,85.86482692,82.50148991
NaCl | NaCoHCF,Wiener,56,80.66021462,80.6358741
NaCl | NaCoHCF,Weibull,56,80.66021462,77.70130242
NaCl | NaCoHCF,Wiener,57,80.20698615,80.27980611
NaCl | NaCoHCF,Weibull,57,80.20698615,77.32262939
Shu | NaCoHCF,Wiener,14,90.60858,90.23203356
Shu | NaCoHCF,Weibull,14,90.60858,90.30566711
Shu | NaCoHCF,Wiener,28,84.49637154,83.43836944
Shu | NaCoHCF,Weibull,28,84.49637154,83.81638595
Shu | NaCoHCF,Wiener,42,83.63598077,80.44562093
Shu | NaCoHCF,Weibull,42,83.63598077,80.41855377
Shu | NaCoHCF,Wiener,56,83.90580538,80.62601734
Shu | NaCoHCF,Weibull,56,83.90580538,79.98977461
Shu | NaCoHCF,Wiener,70,82.12486,79.7734519
Shu | NaCoHCF,Weibull,70,82.12486,79.14009695
Shu | NaCoHCF,Wiener,84,80.27214923,78.99000624
Shu | NaCoHCF,Weibull,84,80.27214923,78.41958405
Shu | NaCoHCF,Wiener,85,80.10249,78.89164519
Shu | NaCoHCF,Weibull,85,80.10249,78.3422962
Shu | NaNiHCF,Wiener,14,99.39497769,99.39482116
