trajectory,method,cycle,actual_retention,pred_retention
Hu pH 7 | KNiHCF,SPI+TBU,96,64.988508,66.12174487
Hu pH 7 | KNiHCF,SPI+TBU,100,63.050316,64.07801035
Hu pH 7 | KNiHCF,Lin,12,97.089022,64.49849521
Hu pH 7 | KNiHCF,Lin,24,92.202456,91.35146434
Hu pH 7 | KNiHCF,Lin,36,88.116802,88.19275069
Hu pH 7 | KNiHCF,Lin,48,84.384694,83.65183543
Hu pH 7 | KNiHCF,Lin,60,79.94906,79.57872906
Hu pH 7 | KNiHCF,Lin,72,74.9637,75.72332311
Hu pH 7 | KNiHCF,Lin,84,69.478382,71.24184131
Hu pH 7 | KNiHCF,Lin,96,64.988508,66.31838547
Hu pH 7 | KNiHCF,Lin,100,63.050316,64.37125801
Hu pH 7 | KNiHCF,Log-Bayes,12,97.089022,98.53461663
Hu pH 7 | KNiHCF,Log-Bayes,24,92.202456,96.23358479
Hu pH 7 | KNiHCF,Log-Bayes,36,88.116802,93.45263343
Hu pH 7 | KNiHCF,Log-Bayes,48,84.384694,89.18285989
Hu pH 7 | KNiHCF,Log-Bayes,60,79.94906,85.86920742
Hu pH 7 | KNiHCF,Log-Bayes,72,74.9637,82.75165309
Hu pH 7 | KNiHCF,Log-Bayes,84,69.478382,79.31662977
Hu pH 7 | KNiHCF,Log-Bayes,96,64.988508,75.66727232
Hu pH 7 | KNiHCF,Log-Bayes,100,63.050316,72.82571692
Hu pH 7 | NaCoHCF,SPI+CBU (ours),12,85.157618,66.37285045
Hu pH 7 | NaCoHCF,SPI+CBU (ours),24,59.1475,83.66425603
Hu pH 7 | NaCoHCF,SPI+CBU (ours),36,55.788772,62.57097927
Hu pH 7 | NaCoHCF,SPI+CBU (ours),48,56.594054,55.16107601
Hu pH 7 | NaCoHCF,SPI+CBU (ours),60,52.96377,52.40755709
Hu pH 7 | NaCoHCF,SPI+CBU (ours),72,50.240604,50.53191364
Hu pH 7 | NaCoHCF,SPI+CBU (ours),84,49.485958,48.90308387
Hu pH 7 | NaCoHCF,SPI+CBU (ours),96,50.790982,47.70818316
Hu pH 7 | NaCoHCF,SPI+CBU (ours),100,48.101418,48.09128359
Hu pH 7 | NaCoHCF,SPI+TBU,12,85.157618,66.37285045
Hu pH 7 | NaCoHCF,SPI+TBU,24,59.1475,84.94982744
Hu pH 7 | NaCoHCF,SPI+TBU,36,55.788772,57.44779673
Hu pH 7 | NaCoHCF,SPI+TBU,48,56.594054,46.29687296
Hu pH 7 | NaCoHCF,SPI+TBU,60,52.96377,46.3637976
Hu pH 7 | NaCoHCF,SPI+TBU,72,50.240604,47.94477667
Hu pH 7 | NaCoHCF,SPI+TBU,84,49.485958,47.65941484
