material,threshold,replicate,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,90.0,2,SPI+TBU,1208.0,0.424464389322793,41.0,,
KCoHCF,90.0,2,Lin,50.0,1158.4244643893228,1382.0,,
KCoHCF,90.0,2,Lin,100.0,1108.4244643893228,1330.0,,
KCoHCF,90.0,2,Lin,150.0,1058.4244643893228,1260.0,,
KCoHCF,90.0,2,Lin,200.0,1008.4244643893228,1113.0,,
KCoHCF,90.0,2,Lin,250.0,958.4244643893228,909.0,,
KCoHCF,90.0,2,Lin,300.0,908.4244643893228,710.0,,
KCoHCF,90.0,2,Lin,350.0,858.4244643893228,549.0,,
KCoHCF,90.0,2,Lin,400.0,808.4244643893228,453.0,,
KCoHCF,90.0,2,Lin,450.0,758.4244643893228,386.0,,
KCoHCF,90.0,2,Lin,500.0,708.4244643893228,363.0,,
KCoHCF,90.0,2,Lin,550.0,658.4244643893228,356.0,,
KCoHCF,90.0,2,Lin,600.0,608.4244643893228,372.0,,
KCoHCF,90.0,2,Lin,650.0,558.4244643893228,379.0,,
KCoHCF,90.0,2,Lin,700.0,508.4244643893228,378.0,,
KCoHCF,90.0,2,Lin,750.0,458.4244643893228,364.0,,
KCoHCF,90.0,2,Lin,800.0,408.4244643893228,355.0,,
KCoHCF,90.0,2,Lin,850.0,358.4244643893228,321.0,,
KCoHCF,90.0,2,Lin,900.0,308.4244643893228,294.0,,
KCoHCF,90.0,2,Lin,950.0,258.4244643893228,263.0,,
KCoHCF,90.0,2,Lin,1000.0,208.4244643893228,240.0,,
KCoHCF,90.0,2,Lin,1050.0,158.4244643893228,197.0,,
KCoHCF,90.0,2,Lin,1100.0,108.4244643893228,152.0,,
KCoHCF,90.0,2,Lin,1150.0,58.42446438932279,110.0,,
KCoHCF,90.0,2,Lin,1200.0,8.424464389322793,43.0,,
KCoHCF,90.0,2,Lin,1208.0,0.424464389322793,32.0,,
KCoHCF,90.0,3,SPI+CBU (ours),58.0,1331.17457206328,1206.0,1038.9278940631157,1373.0721059368843
KCoHCF,90.0,3,SPI+CBU (ours),116.0,1273.17457206328,1161.0,993.9278940631156,1328.0721059368843
KCoHCF,90.0,3,SPI+CBU (ours),174.0,1215.17457206328,1106.0,938.9278940631156,1273.0721059368843
KCoHCF,90.0,3,SPI+CBU (ours),232.0,1157.17457206328,1047.0,899.6623633642438,1194.3376366357563
KCoHCF,90.0,3,SPI+CBU (ours),290.0,1099.17457206328,953.0,792.1671971479196,1113.8328028520805
KCoHCF,90.0,3,SPI+CBU (ours),348.0,1041.17457206328,879.0,714.8468918980329,1043.153108101967
KCoHCF,90.0,3,SPI+CBU (ours),406.0,983.17457206328,812.0,649.2723279189152,974.7276720810848
KCoHCF,90.0,3,SPI+CBU (ours),464.0,925.17457206328,759.0,596.8731401134776,921.1268598865224
KCoHCF,90.0,3,SPI+CBU (ours),522.0,867.17457206328,725.0,564.7093301902862,885.2906698097138
KCoHCF,90.0,3,SPI+CBU (ours),580.0,809.17457206328,697.0,552.9930543006892,841.0069456993108
KCoHCF,90.0,3,SPI+CBU (ours),638.0,751.17457206328,687.0,582.3662455008305,791.6337544991695
KCoHCF,90.0,3,SPI+CBU (ours),696.0,693.17457206328,655.0,582.9025366525157,727.0974633474843
KCoHCF,90.0,3,SPI+CBU (ours),754.0,635.17457206328,616.0,568.8988165103287,663.1011834896713
KCoHCF,90.0,3,SPI+CBU (ours),812.0,577.17457206328,560.0,519.4220687057108,600.5779312942892
KCoHCF,90.0,3,SPI+CBU (ours),870.0,519.17457206328,496.0,455.3296360603935,536.6703639396065
KCoHCF,90.0,3,SPI+CBU (ours),928.0,461.17457206328,441.0,404.6895489248663,477.3104510751337
KCoHCF,90.0,3,SPI+CBU (ours),986.0,403.17457206328,389.0,359.5602024664439,418.4397975335561
KCoHCF,90.0,3,SPI+CBU (ours),1044.0,345.17457206328004,334.0,309.2742673776256,358.72573262237444
KCoHCF,90.0,3,SPI+CBU (ours),1102.0,287.17457206328004,281.0,255.8121041510392,306.18789584896086
KCoHCF,90.0,3,SPI+CBU (ours),1160.0,229.17457206328004,225.0,202.0479737155921,247.95202628440785
KCoHCF,90.0,3,SPI+CBU (ours),1218.0,171.17457206328004,168.0,138.23668820783342,197.7633117921665
KCoHCF,90.0,3,SPI+CBU (ours),1276.0,113.17457206328004,111.0,74.35045613169547,147.64954386830453
KCoHCF,90.0,3,SPI+CBU (ours),1334.0,55.17457206328004,52.0,14.102615419912098,89.8973845800879
KCoHCF,90.0,3,SPI+CBU (ours),1389.0,0.1745720632800385,0.0,0.0,0.9243264531728757
KCoHCF,90.0,3,SPI+TBU,58.0,1331.17457206328,1206.0,,
KCoHCF,90.0,3,SPI+TBU,116.0,1273.17457206328,1165.0,,
KCoHCF,90.0,3,SPI+TBU,174.0,1215.17457206328,1117.0,,
KCoHCF,90.0,3,SPI+TBU,232.0,1157.17457206328,1031.0,,
KCoHCF,90.0,3,SPI+TBU,290.0,1099.17457206328,925.0,,
KCoHCF,90.0,3,SPI+TBU,348.0,1041.17457206328,808.0,,
KCoHCF,90.0,3,SPI+TBU,406.0,983.17457206328,725.0,,
KCoHCF,90.0,3,SPI+TBU,464.0,925.17457206328,637.0,,
KCoHCF,90.0,3,SPI+TBU,522.0,867.17457206328,605.0,,
KCoHCF,90.0,3,SPI+TBU,580.0,809.17457206328,630.5,,
KCoHCF,90.0,3,SPI+TBU,638.0,751.17457206328,656.0,,
KCoHCF,90.0,3,SPI+TBU,696.0,693.17457206328,667.0,,
KCoHCF,90.0,3,SPI+TBU,754.0,635.17457206328,667.0,,
KCoHCF,90.0,3,SPI+TBU,812.0,577.17457206328,635.0,,
KCoHCF,90.0,3,SPI+TBU,870.0,519.17457206328,538.0,,
KCoHCF,90.0,3,SPI+TBU,928.0,461.17457206328,478.0,,
KCoHCF,90.0,3,SPI+TBU,986.0,403.17457206328,433.0,,
KCoHCF,90.0,3,SPI+TBU,1044.0,345.17457206328004,375.0,,
KCoHCF,90.0,3,SPI+TBU,1102.0,287.17457206328004,346.0,,
KCoHCF,90.0,3,SPI+TBU,1160.0,229.17457206328004,292.0,,
KCoHCF,90.0,3,SPI+TBU,1218.0,171.17457206328004,234.5,,
KCoHCF,90.0,3,SPI+TBU,1276.0,113.17457206328004,171.0,,
KCoHCF,90.0,3,SPI+TBU,1334.0,55.17457206328004,88.0,,
KCoHCF,90.0,3,SPI+TBU,1389.0,0.1745720632800385,19.0,,
KCoHCF,90.0,3,Lin,58.0,1331.17457206328,1243.0,,
KCoHCF,90.0,3,Lin,116.0,1273.17457206328,1178.5,,
KCoHCF,90.0,3,Lin,174.0,1215.17457206328,1109.0,,
KCoHCF,90.0,3,Lin,232.0,1157.17457206328,979.0,,
KCoHCF,90.0,3,Lin,290.0,1099.17457206328,846.995007181677,,
KCoHCF,90.0,3,Lin,348.0,1041.17457206328,722.0,,
KCoHCF,90.0,3,Lin,406.0,983.17457206328,649.0,,
KCoHCF,90.0,3,Lin,464.0,925.17457206328,582.4100474721895,,
KCoHCF,90.0,3,Lin,522.0,867.17457206328,549.0,,
KCoHCF,90.0,3,Lin,580.0,809.17457206328,547.0,,
KCoHCF,90.0,3,Lin,638.0,751.17457206328,547.0,,
KCoHCF,90.0,3,Lin,696.0,693.17457206328,539.4216680917534,,
KCoHCF,90.0,3,Lin,754.0,635.17457206328,532.5,,
KCoHCF,90.0,3,Lin,812.0,577.17457206328,511.0,,
KCoHCF,90.0,3,Lin,870.0,519.17457206328,457.0,,
KCoHCF,90.0,3,Lin,928.0,461.17457206328,409.0,,
KCoHCF,90.0,3,Lin,986.0,403.17457206328,375.0,,
KCoHCF,90.0,3,Lin,1044.0,345.17457206328004,330.0,,
KCoHCF,90.0,3,Lin,1102.0,287.17457206328004,297.0,,
KCoHCF,90.0,3,Lin,1160.0,229.17457206328004,253.0,,
KCoHCF,90.0,3,Lin,1218.0,171.17457206328004,204.0,,
KCoHCF,90.0,3,Lin,1276.0,113.17457206328004,150.0,,
KCoHCF,90.0,3,Lin,1334.0,55.17457206328004,81.0,,
KCoHCF,90.0,3,Lin,1389.0,0.1745720632800385,16.0,,
KCoHCF,87.0,1,SPI+CBU (ours),169.0,3895.0965377175808,4158.771834977148,3768.169860335984,4549.373809618312
KCoHCF,87.0,1,SPI+CBU (ours),338.0,3726.0965377175808,3989.771834977148,3599.169860335984,4380.373809618312
KCoHCF,87.0,1,SPI+CBU (ours),507.0,3557.0965377175808,3749.566248420655,3358.964273779491,4140.168223061819
KCoHCF,87.0,1,SPI+CBU (ours),676.0,3388.0965377175808,3545.373032534285,3154.771057893121,3935.975007175449
KCoHCF,87.0,1,SPI+CBU (ours),845.0,3219.0965377175808,3341.4707935462275,2968.667838269432,3714.273748823023
KCoHCF,87.0,1,SPI+CBU (ours),1014.0,3050.0965377175808,3172.4707935462275,2781.868818905064,3563.0727681873914
KCoHCF,87.0,1,SPI+CBU (ours),1183.0,2881.0965377175808,3003.4707935462275,2612.868818905064,3394.0727681873914
KCoHCF,87.0,1,SPI+CBU (ours),1352.0,2712.0965377175808,2834.4707935462275,2443.868818905064,3225.0727681873914
KCoHCF,87.0,1,SPI+CBU (ours),1521.0,2543.0965377175808,2665.4707935462275,2274.868818905064,3056.0727681873914
KCoHCF,87.0,1,SPI+CBU (ours),1690.0,2374.0965377175808,2496.4707935462275,2105.868818905064,2887.0727681873914
KCoHCF,87.0,1,SPI+CBU (ours),1859.0,2205.0965377175808,2327.4707935462275,1936.868818905064,2718.0727681873914
KCoHCF,87.0,1,SPI+CBU (ours),2028.0,2036.0965377175808,2089.5296429883083,1739.198335849548,2439.8609501270685
KCoHCF,87.0,1,SPI+CBU (ours),2197.0,1867.0965377175808,1989.6150790994104,1672.759000171578,2306.4711580272424
