trajectory,method,cycle,actual_retention,true_RUL,pred_RUL,pred_retention,RUL_lo_cal90,RUL_hi_cal90
KHCO3 | KNiHCF,Lin,14,97.64859615,49.55591164,64,95.07839984,,
KHCO3 | KNiHCF,Lin,28,92.47375692,35.55591164,49.75490855,93.13446985,,
KHCO3 | KNiHCF,Lin,42,87.26530538,21.55591164,25.20015785,89.69409003,,
KHCO3 | KNiHCF,Lin,56,82.97362538,7.555911643,9.441123049,83.55136569,,
KHCO3 | KNiHCF,Lin,63,80.20735462,0.555911643,2.441123049,80.78756494,,
KHCO3 | NaMnHCF,SPI+CBU (ours),14,98.16786769,59.3442082,58,94.99693908,28.33160255,87.66839745
KHCO3 | NaMnHCF,SPI+CBU (ours),28,94.56804462,45.3442082,47.71959206,93.75402228,24.44433233,70.99485179
KHCO3 | NaMnHCF,SPI+CBU (ours),42,91.95829231,31.3442082,38.91244237,91.09228299,26.02387025,51.80101449
KHCO3 | NaMnHCF,SPI+CBU (ours),56,88.63095308,17.3442082,24.89512798,87.94522846,16.00658889,33.78366706
KHCO3 | NaMnHCF,SPI+CBU (ours),70,81.70641923,3.344208196,10.20519951,83.53200218,0,23.77349565
KHCO3 | NaMnHCF,SPI+CBU (ours),73,80.16985615,0.344208196,3.251137908,81.22197516,0,21.89152297
KHCO3 | NaMnHCF,SPI+TBU,14,98.16786769,59.3442082,58.28514459,94.99693908,,
KHCO3 | NaMnHCF,SPI+TBU,28,94.56804462,45.3442082,48.86525106,93.79323781,,
KHCO3 | NaMnHCF,SPI+TBU,42,91.95829231,31.3442082,47.18640875,90.4310724,,
KHCO3 | NaMnHCF,SPI+TBU,56,88.63095308,17.3442082,38.12100587,88.19291501,,
KHCO3 | NaMnHCF,SPI+TBU,70,81.70641923,3.344208196,14,85.44631576,,
KHCO3 | NaMnHCF,SPI+TBU,73,80.16985615,0.344208196,8.449238152,83.04875457,,
KHCO3 | NaMnHCF,Lin,14,98.16786769,59.3442082,60.72200055,94.95320377,,
KHCO3 | NaMnHCF,Lin,28,94.56804462,45.3442082,57,93.1254767,,
KHCO3 | NaMnHCF,Lin,42,91.95829231,31.3442082,52,90.66472768,,
KHCO3 | NaMnHCF,Lin,56,88.63095308,17.3442082,40.88760224,88.38328774,,
KHCO3 | NaMnHCF,Lin,70,81.70641923,3.344208196,18.78213039,85.63752643,,
KHCO3 | NaMnHCF,Lin,73,80.16985615,0.344208196,12.88674132,83.66055632,,
NH4Cl | NaCoHCF,SPI+CBU (ours),14,93.68553538,56.32535835,60.13263047,95.60212173,30.46423302,89.80102793
NH4Cl | NaCoHCF,SPI+CBU (ours),28,90.20032923,42.32535835,43.80739415,91.16331598,15.80920794,71.80558036
NH4Cl | NaCoHCF,SPI+CBU (ours),42,90.22220615,28.32535835,30,89.29758154,6.662739831,53.33726017
NH4Cl | NaCoHCF,SPI+CBU (ours),56,86.41429077,14.32535835,21.56217155,84.96292543,6.839454143,36.28488896
NH4Cl | NaCoHCF,SPI+CBU (ours),70,80.11043538,0.325358353,2.719142505,80.9008496,0,23.31690782
NH4Cl | NaCoHCF,SPI+TBU,14,93.68553538,56.32535835,386,95.60212173,,
NH4Cl | NaCoHCF,SPI+TBU,28,90.20032923,42.32535835,386,97.98331598,,
NH4Cl | NaCoHCF,SPI+TBU,42,90.22220615,28.32535835,82.25436697,96.4403068,,
NH4Cl | NaCoHCF,SPI+TBU,56,86.41429077,14.32535835,39.50020919,88.78148471,,
NH4Cl | NaCoHCF,SPI+TBU,70,80.11043538,0.325358353,8.792991534,84.72545174,,
NH4Cl | NaCoHCF,Lin,14,93.68553538,56.32535835,137,95.67901923,,
NH4Cl | NaCoHCF,Lin,28,90.20032923,42.32535835,137,88.85620933,,
NH4Cl | NaCoHCF,Lin,42,90.22220615,28.32535835,214.5119125,93.40898884,,
NH4Cl | NaCoHCF,Lin,56,86.41429077,14.32535835,117.4579402,90.26235146,,
NH4Cl | NaCoHCF,Lin,70,80.11043538,0.325358353,30,87.29174777,,
NaCl | NaCoHCF,SPI+CBU (ours),14,96.03097615,43.46605503,58.76607361,95.35305302,32.6440125,84.88813471
NaCl | NaCoHCF,SPI+CBU (ours),28,89.4695,29.46605503,32.83758736,91.163752,4.25200359,61.42317112
NaCl | NaCoHCF,SPI+CBU (ours),42,85.86482692,15.46605503,17.63927026,86.0079809,0,45.40886078
NaCl | NaCoHCF,SPI+CBU (ours),56,80.66021462,1.466055033,4.435496661,81.13224715,0,30.7517972
NaCl | NaCoHCF,SPI+CBU (ours),57,80.20698615,0.466055033,3.036063481,80.97226408,0,28.32632213
NaCl | NaCoHCF,SPI+TBU,14,96.03097615,43.46605503,59.12510118,95.35305302,,
NaCl | NaCoHCF,SPI+TBU,28,89.4695,29.46605503,27.62831314,92.47765245,,
NaCl | NaCoHCF,SPI+TBU,42,85.86482692,15.46605503,14.18408787,84.92267327,,
NaCl | NaCoHCF,SPI+TBU,56,80.66021462,1.466055033,3.639270255,80.06623766,,
NaCl | NaCoHCF,SPI+TBU,57,80.20698615,0.466055033,2.245099534,80.78127916,,
NaCl | NaCoHCF,Lin,14,96.03097615,43.46605503,61.35979603,95.25875957,,
NaCl | NaCoHCF,Lin,28,89.4695,29.46605503,32.01803174,92.59659215,,
NaCl | NaCoHCF,Lin,42,85.86482692,15.46605503,14.93418515,85.96883873,,
NaCl | NaCoHCF,Lin,56,80.66021462,1.466055033,2.853533984,80.27167634,,
NaCl | NaCoHCF,Lin,57,80.20698615,0.466055033,1.853533984,80.57232856,,
Shu | NaCoHCF,SPI+CBU (ours),14,90.60858,71.70904688,68.42725533,95.9898026,41.1590824,95.69542825
Shu | NaCoHCF,SPI+CBU (ours),28,84.49637154,57.70904688,48.50549666,85.56693614,22.090374,74.92061932
Shu | NaCoHCF,SPI+CBU (ours),42,83.63598077,43.70904688,32.96758736,83.25973878,11.71583233,54.21934239
Shu | NaCoHCF,SPI+CBU (ours),56,83.90580538,29.70904688,23.84493365,82.62562716,5.68326147,42.00660584
Shu | NaCoHCF,SPI+CBU (ours),70,82.12486,15.70904688,20.56600777,81.35459798,2.635620683,38.49639486
Shu | NaCoHCF,SPI+CBU (ours),84,80.27214923,1.709046884,10,80.28674055,0,20.12171617
Shu | NaCoHCF,SPI+CBU (ours),85,80.10249,0.709046884,8,80.42126226,0,17.01062877
Shu | NaCoHCF,SPI+TBU,14,90.60858,71.70904688,43.69429675,95.9898026,,
Shu | NaCoHCF,SPI+TBU,28,84.49637154,57.70904688,15.04705126,86.84901678,,
Shu | NaCoHCF,SPI+TBU,42,83.63598077,43.70904688,9.202941579,80.36916813,,
Shu | NaCoHCF,SPI+TBU,56,83.90580538,29.70904688,48.79070107,79.00087239,,
Shu | NaCoHCF,SPI+TBU,70,82.12486,15.70904688,45.75001505,82.21619507,,
Shu | NaCoHCF,SPI+TBU,84,80.27214923,1.709046884,38,81.74037476,,
Shu | NaCoHCF,SPI+TBU,85,80.10249,0.709046884,35,81.39825037,,
Shu | NaCoHCF,Lin,14,90.60858,71.70904688,46.43549666,95.86081753,,
Shu | NaCoHCF,Lin,28,84.49637154,57.70904688,14.52634575,88.9818838,,
Shu | NaCoHCF,Lin,42,83.63598077,43.70904688,3.141610787,80.05148285,,
Shu | NaCoHCF,Lin,56,83.90580538,29.70904688,2.853533984,76.06688216,,
Shu | NaCoHCF,Lin,70,82.12486,15.70904688,0,77.18574006,,
Shu | NaCoHCF,Lin,84,80.27214923,1.709046884,0,76.91350825,,
Shu | NaCoHCF,Lin,85,80.10249,0.709046884,0,78.67777158,,
Shu | NaNiHCF,SPI+CBU (ours),14,99.39497769,64.15238524,60,94.84597943,30.33160255,89.66839745
Shu | NaNiHCF,SPI+CBU (ours),28,96.59603769,50.15238524,55.63856556,94.86363156,25.97016811,85.30696301
Shu | NaNiHCF,SPI+CBU (ours),42,92.66949385,36.15238524,42.75519951,92.47572975,29.87606711,55.63433192
Shu | NaNiHCF,SPI+CBU (ours),56,87.06590231,22.15238524,22.79299153,87.76445272,6.59788768,38.98809539
Shu | NaNiHCF,SPI+CBU (ours),70,82.69223077,8.15238524,8,82.98133013,0,21.85619874
Shu | NaNiHCF,SPI+CBU (ours),78,80.03723615,0.15238524,0.792991534,79.93035409,0,11.47348872
Shu | NaNiHCF,SPI+TBU,14,99.39497769,64.15238524,60.11407216,94.84597943,,
Shu | NaNiHCF,SPI+TBU,28,96.59603769,50.15238524,59,94.85332464,,
Shu | NaNiHCF,SPI+TBU,42,92.66949385,36.15238524,44.22908238,92.99769582,,
Shu | NaNiHCF,SPI+TBU,56,87.06590231,22.15238524,23,88.8451672,,
Shu | NaNiHCF,SPI+TBU,70,82.69223077,8.15238524,8,83.01972676,,
Shu | NaNiHCF,SPI+TBU,78,80.03723615,0.15238524,0,79.96863686,,
Shu | NaNiHCF,Lin,14,99.39497769,64.15238524,63.12050354,94.81750621,,
Shu | NaNiHCF,Lin,28,96.59603769,50.15238524,76,93.6548649,,
Shu | NaNiHCF,Lin,42,92.66949385,36.15238524,65.60743894,93.12252251,,
Shu | NaNiHCF,Lin,56,87.06590231,22.15238524,37,90.25513103,,
Shu | NaNiHCF,Lin,70,82.69223077,8.15238524,15,85.27564311,,
Shu | NaNiHCF,Lin,78,80.03723615,0.15238524,4.536643042,81.80652509,,
Hu pH 7 | KNiHCF,Log-Bayes,14,97.64859615,49.55591164,508.4472931,97.8898442,,
Hu pH 7 | KNiHCF,Log-Bayes,28,92.47375692,35.55591164,508.4472931,94.87427567,,
Hu pH 7 | KNiHCF,Log-Bayes,42,87.26530538,21.55591164,370.2160331,90.48823275,,
Hu pH 7 | KNiHCF,Log-Bayes,56,82.97362538,7.555911643,112.7091757,86.66965212,,
Hu pH 7 | KNiHCF,Log-Bayes,63,80.20735462,0.555911643,65.43792297,84.79825599,,
Hu pH 7 | NaMnHCF,Log-Bayes,14,93.55977846,45.29006408,474.3205126,94.60609305,,
Hu pH 7 | NaMnHCF,Log-Bayes,28,86.15354154,31.29006408,86.40242563,88.05992478,,
Hu pH 7 | NaMnHCF,Log-Bayes,42,82.09298385,17.29006408,30.47992855,83.76642299,,
Hu pH 7 | NaMnHCF,Log-Bayes,56,80.65910692,3.290064077,9.528800879,81.1438962,,
Hu pH 7 | NaMnHCF,Log-Bayes,59,80.09920615,0.290064077,5.877931524,80.69553962,,
Hu pH 9 | NaMnHCF,Log-Bayes,14,95.89890692,68.13767025,657.101362,96.4166401,,
Hu pH 9 | NaMnHCF,Log-Bayes,28,90.00239385,54.13767025,562.9215022,91.86069405,,
Hu pH 9 | NaMnHCF,Log-Bayes,42,87.57067615,40.13767025,209.9383971,88.68379511,,
Hu pH 9 | NaMnHCF,Log-Bayes,56,85.29028385,26.13767025,134.2802809,86.5027586,,
Hu pH 9 | NaMnHCF,Log-Bayes,70,83.19146538,12.13767025,87.47225902,84.63335142,,
Hu pH 9 | NaMnHCF,Log-Bayes,82,80.05147385,0.137670246,50.67543768,82.9624511,,
KCl | NaCoHCF,Log-Bayes,14,95.61816846,85.21920592,793.7536473,96.13434768,,
KCl | NaCoHCF,Log-Bayes,28,94.24000154,71.21920592,793.7536473,93.96599242,,
KCl | NaCoHCF,Log-Bayes,42,92.25076769,57.21920592,793.7536473,92.94202621,,
KCl | NaCoHCF,Log-Bayes,56,89.46770077,43.21920592,793.7536473,91.25157766,,
KCl | NaCoHCF,Log-Bayes,70,85.99577538,29.21920592,753.911997,89.30333665,,
KCl | NaCoHCF,Log-Bayes,84,82.95049,15.21920592,281.8817267,86.94685729,,
KCl | NaCoHCF,Log-Bayes,98,80.18900462,1.219205916,127.7716864,84.66699367,,
KCl | NaCoHCF,Log-Bayes,99,80.03775923,0.219205916,120.8797499,84.5090876,,
KHCO3 | KNiHCF,Log-Bayes,14,97.64859615,49.55591164,508.4472931,97.8898442,,
KHCO3 | KNiHCF,Log-Bayes,28,92.47375692,35.55591164,508.4472931,94.87427567,,
KHCO3 | KNiHCF,Log-Bayes,42,87.26530538,21.55591164,370.2160331,90.48823275,,
KHCO3 | KNiHCF,Log-Bayes,56,82.97362538,7.555911643,112.7091757,86.66965212,,
KHCO3 | KNiHCF,Log-Bayes,63,80.20735462,0.555911643,65.43792297,84.79825599,,
KHCO3 | NaMnHCF,Log-Bayes,14,98.16786769,59.3442082,586.7536656,98.42301578,,
KHCO3 | NaMnHCF,Log-Bayes,28,94.56804462,45.3442082,586.7536656,95.89712112,,
KHCO3 | NaMnHCF,Log-Bayes,42,91.95829231,31.3442082,586.7536656,93.5324566,,
KHCO3 | NaMnHCF,Log-Bayes,56,88.63095308,17.3442082,586.7536656,91.16682697,,
KHCO3 | NaMnHCF,Log-Bayes,70,81.70641923,3.344208196,249.6672609,87.98637023,,
KHCO3 | NaMnHCF,Log-Bayes,73,80.16985615,0.344208196,184.6934577,87.11751995,,
NH4Cl | NaCoHCF,Log-Bayes,14,93.68553538,56.32535835,562.6028668,93.26913922,,
NH4Cl | NaCoHCF,Log-Bayes,28,90.20032923,42.32535835,562.6028668,94.6451405,,
NH4Cl | NaCoHCF,Log-Bayes,42,90.22220615,28.32535835,562.6028668,92.18450821,,
NH4Cl | NaCoHCF,Log-Bayes,56,86.41429077,14.32535835,562.6028668,90.21465671,,
NH4Cl | NaCoHCF,Log-Bayes,70,80.11043538,0.325358353,562.6028668,87.15588351,,
NaCl | NaCoHCF,Log-Bayes,14,96.03097615,43.46605503,459.7284403,96.86051383,,
NaCl | NaCoHCF,Log-Bayes,28,89.4695,29.46605503,378.3882944,91.58578319,,
NaCl | NaCoHCF,Log-Bayes,42,85.86482692,15.46605503,116.5255855,87.55268899,,
NaCl | NaCoHCF,Log-Bayes,56,80.66021462,1.466055033,49.74741344,84.24212684,,
NaCl | NaCoHCF,Log-Bayes,57,80.20698615,0.466055033,45.46145425,83.96918149,,
Shu | NaCoHCF,Log-Bayes,14,90.60858,71.70904688,171.4693414,91.14182657,,
Shu | NaCoHCF,Log-Bayes,28,84.49637154,57.70904688,44.96443614,85.62933,,
Shu | NaCoHCF,Log-Bayes,42,83.63598077,43.70904688,24.33923931,82.80995942,,
Shu | NaCoHCF,Log-Bayes,56,83.90580538,29.70904688,29.87307532,82.32208475,,
Shu | NaCoHCF,Log-Bayes,70,82.12486,15.70904688,22.66918187,81.47008583,,
Shu | NaCoHCF,Log-Bayes,84,80.27214923,1.709046884,12.83079991,80.72902173,,
Shu | NaCoHCF,Log-Bayes,85,80.10249,0.709046884,11.53287078,80.65365552,,
Shu | NaNiHCF,Log-Bayes,14,99.39497769,64.15238524,625.2190819,99.45795414,,
Shu | NaNiHCF,Log-Bayes,28,96.59603769,50.15238524,625.2190819,98.07218147,,
Shu | NaNiHCF,Log-Bayes,42,92.66949385,36.15238524,625.2190819,95.30404899,,
Shu | NaNiHCF,Log-Bayes,56,87.06590231,22.15238524,625.2190819,91.79795919,,
Shu | NaNiHCF,Log-Bayes,70,82.69223077,8.15238524,226.9243651,88.18068682,,
Shu | NaNiHCF,Log-Bayes,78,80.03723615,0.15238524,120.3718746,86.08661588,,
Hu pH 7 | KNiHCF,Wiener,14,97.64859615,49.55591164,99.53215481,97.60060221,,
Hu pH 7 | KNiHCF,Weibull,14,97.64859615,49.55591164,53.09813565,97.31559353,,
Hu pH 7 | KNiHCF,Wiener,28,92.47375692,35.55591164,53.52731464,93.59983573,,
Hu pH 7 | KNiHCF,Weibull,28,92.47375692,35.55591164,39.35423156,93.53245766,,
Hu pH 7 | KNiHCF,Wiener,42,87.26530538,21.55591164,23.66641116,87.77484339,,
Hu pH 7 | KNiHCF,Weibull,42,87.26530538,21.55591164,17.84315191,87.64385559,,
Hu pH 7 | KNiHCF,Wiener,56,82.97362538,7.555911643,8.751124114,82.92808478,,
Hu pH 7 | KNiHCF,Weibull,56,82.97362538,7.555911643,4.565277474,82.00877381,,
Hu pH 7 | KNiHCF,Wiener,63,80.20735462,0.555911643,1.590580249,80.53416542,,
Hu pH 7 | KNiHCF,Weibull,63,80.20735462,0.555911643,0,79.23546329,,
Hu pH 7 | NaMnHCF,Wiener,14,93.55977846,45.29006408,29.93939804,93.79258014,,
Hu pH 7 | NaMnHCF,Weibull,14,93.55977846,45.29006408,30.39301491,93.89120478,,
Hu pH 7 | NaMnHCF,Wiener,28,86.15354154,31.29006408,10.19479803,85.53275422,,
Hu pH 7 | NaMnHCF,Weibull,28,86.15354154,31.29006408,9.407231993,85.52055429,,
Hu pH 7 | NaMnHCF,Wiener,42,82.09298385,17.29006408,1.089827923,80.49796255,,
Hu pH 7 | NaMnHCF,Weibull,42,82.09298385,17.29006408,0,79.60512961,,
Hu pH 7 | NaMnHCF,Wiener,56,80.65910692,3.290064077,0,77.7493487,,
Hu pH 7 | NaMnHCF,Weibull,56,80.65910692,3.290064077,0,76.05265502,,
Hu pH 7 | NaMnHCF,Wiener,59,80.09920615,0.290064077,0,77.28893795,,
Hu pH 7 | NaMnHCF,Weibull,59,80.09920615,0.290064077,0,75.47110164,,
Hu pH 9 | NaMnHCF,Wiener,14,95.89890692,68.13767025,58.46315968,95.97566971,,
Hu pH 9 | NaMnHCF,Weibull,14,95.89890692,68.13767025,87.67854428,96.09092206,,
Hu pH 9 | NaMnHCF,Wiener,28,90.00239385,54.13767025,27.13911826,90.08041054,,
Hu pH 9 | NaMnHCF,Weibull,28,90.00239385,54.13767025,31.47056784,90.63517949,,
Hu pH 9 | NaMnHCF,Wiener,42,87.57067615,40.13767025,19.66191222,86.3327501,,
Hu pH 9 | NaMnHCF,Weibull,42,87.57067615,40.13767025,19.76835516,86.33487387,,
Hu pH 9 | NaMnHCF,Wiener,56,85.29028385,26.13767025,14.37416571,83.87890383,,
Hu pH 9 | NaMnHCF,Weibull,56,85.29028385,26.13767025,12.2483318,83.37845863,,
Hu pH 9 | NaMnHCF,Wiener,70,83.19146538,12.13767025,7.295296863,81.72516345,,
Hu pH 9 | NaMnHCF,Weibull,70,83.19146538,12.13767025,3.894055389,80.9446068,,
Hu pH 9 | NaMnHCF,Wiener,82,80.05147385,0.137670246,0,79.65150336,,
Hu pH 9 | NaMnHCF,Weibull,82,80.05147385,0.137670246,0,78.85302873,,
KCl | NaCoHCF,Wiener,14,95.61816846,85.21920592,57.81663836,95.6960931,,
KCl | NaCoHCF,Weibull,14,95.61816846,85.21920592,161.9537826,96.03139534,,
