trajectory,electrolyte,electrode,method,cycle,actual_retention,true_RUL,pred_RUL,RUL_lo90,RUL_hi90,pred_retention,retention_lo,retention_hi,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+CBU (ours),12,10.113686,88,93,68,118,67.39336233,22.00760591,112.7791187,49.63228039,136.3677196
Shu | NaCoHCF,Shu,NaCoHCF,SPI+CBU (ours),36,83.297248,64,56.92099476,45.61940979,81.83800512,84.43744337,72.45069692,96.42418981,25.50663703,88.3353525
Shu | NaCoHCF,Shu,NaCoHCF,SPI+CBU (ours),48,85.044676,52,44.92099476,34,63.1,81.91367794,70.07367221,93.75368367,19.68098195,70.16100758
Shu | NaCoHCF,Shu,NaCoHCF,SPI+CBU (ours),60,81.982182,40,33.72782602,23.76402352,52.1549062,80.54029977,68.75293466,92.32766487,9.102869227,58.35278281
Shu | NaCoHCF,Shu,NaCoHCF,SPI+CBU (ours),72,82.442164,28,23,13.96498865,39.4198094,79.32056307,67.55931651,91.08180963,0.921649426,45.07835057
Shu | NaCoHCF,Shu,NaCoHCF,SPI+CBU (ours),84,79.412138,16,13,2.711421037,26.16123848,78.04575977,66.29239848,89.79912107,0,33.33930215
Shu | NaCoHCF,Shu,NaCoHCF,SPI+CBU (ours),96,78.064636,4,5,0.190597839,17,76.77551109,65.01052934,88.54049284,0,19.57970879
Shu | NaCoHCF,Shu,NaCoHCF,SPI+CBU (ours),100,76.778482,0,3.974026849,0.021992909,12.38726551,76.92452995,65.19556395,88.65349595,0,14.69910035
Shu | NaCoHCF,Shu,NaCoHCF,SPI+TBU,12,89.224606,88,26.30556196,7.951079352,102.7544683,66.14236085,19.87612867,112.408593,,
Shu | NaCoHCF,Shu,NaCoHCF,SPI+TBU,24,84.475938,76,19.42110128,6.993298064,56.91681064,82.49498121,68.39426398,96.59569845,,
Shu | NaCoHCF,Shu,NaCoHCF,SPI+TBU,36,83.297248,64,15.1728975,2.454587881,55.40775295,79.40639902,66.52890682,92.28389121,,
Shu | NaCoHCF,Shu,NaCoHCF,SPI+TBU,48,85.044676,52,26.85943006,4.517505341,121.5,77.89958143,65.17692699,90.62223587,,
Shu | NaCoHCF,Shu,NaCoHCF,SPI+TBU,60,81.982182,40,37.86829236,6.065108447,152.9527374,80.0359687,67.39728724,92.67465016,,
Shu | NaCoHCF,Shu,NaCoHCF,SPI+TBU,72,82.442164,28,42,8.98707056,157.7435366,81.00937569,68.49201262,93.52673875,,
Shu | NaCoHCF,Shu,NaCoHCF,SPI+TBU,84,79.412138,16,41.75582721,4,155.7,81.17978975,68.78990191,93.56967758,,
Shu | NaCoHCF,Shu,NaCoHCF,SPI+TBU,96,78.064636,4,24.43553646,0,108.4,80.30497817,68.02477963,92.58517672,,
Shu | NaCoHCF,Shu,NaCoHCF,SPI+TBU,100,76.778482,0,24.33664568,0,114.1382994,79.17007453,67.1126033,91.22754576,,
Shu | NaCoHCF,Shu,NaCoHCF,Lin,12,89.224606,88,34.93459498,14,169.227256,64.646293,11.79535776,117.4972282,,
Shu | NaCoHCF,Shu,NaCoHCF,Lin,24,84.475938,76,20.37022441,3.978663844,76.05,86.08953925,59.96086015,112.2182184,,
Shu | NaCoHCF,Shu,NaCoHCF,Lin,36,83.297248,64,11.1710636,0,59.52192485,80.02050441,54.01791068,106.0230981,,
Shu | NaCoHCF,Shu,NaCoHCF,Lin,48,85.044676,52,10,0,73.48127597,76.13841903,50.16261352,102.1142245,,
Shu | NaCoHCF,Shu,NaCoHCF,Lin,60,81.982182,40,11,0,96.27785763,76.22595874,50.3939719,102.0579456,,
Shu | NaCoHCF,Shu,NaCoHCF,Lin,72,82.442164,28,13,0,122.407522,76.48892163,50.83954897,102.1382943,,
Shu | NaCoHCF,Shu,NaCoHCF,Lin,84,79.412138,16,6.541934725,0,79.09368852,76.55735365,51.07282486,102.0418824,,
Shu | NaCoHCF,Shu,NaCoHCF,Lin,96,78.064636,4,1.868292364,0,60.1,76.0511373,50.70026182,101.4020128,,
Shu | NaCoHCF,Shu,NaCoHCF,Lin,100,76.778482,0,0,0,70.15,76.24948257,51.13775252,101.3612126,,
Shu | NaCoHCF,Shu,NaCoHCF,Log-Bayes,12,89.224606,88,82.6073194,63.52629398,110.6234432,91.96011446,91.79349018,92.12295512,,
Shu | NaCoHCF,Shu,NaCoHCF,Log-Bayes,24,84.475938,76,58.14007301,51.85029632,65.47788035,85.1518302,84.18935973,86.09304501,,
Shu | NaCoHCF,Shu,NaCoHCF,Log-Bayes,36,83.297248,64,50.01594711,45.74559344,55.24002239,82.0872633,81.67241889,82.48297272,,
Shu | NaCoHCF,Shu,NaCoHCF,Log-Bayes,48,85.044676,52,80.57328573,63.85059206,103.1619573,80.47288018,80.16648791,80.78499148,,
Shu | NaCoHCF,Shu,NaCoHCF,Log-Bayes,60,81.982182,40,101.394804,80.91772438,128.7803749,80.89798974,80.24943111,81.51544953,,
Shu | NaCoHCF,Shu,NaCoHCF,Log-Bayes,72,82.442164,28,108.326197,87.2666436,135.824946,80.77124867,80.19839248,81.35125919,,
Shu | NaCoHCF,Shu,NaCoHCF,Log-Bayes,84,79.412138,16,94.7164566,77.80710148,116.7608755,80.40844884,79.89250707,80.93031039,,
Shu | NaCoHCF,Shu,NaCoHCF,Log-Bayes,96,78.064636,4,67.54898524,55,82.0728594,79.74093012,79.32359829,80.16650391,,
Shu | NaCoHCF,Shu,NaCoHCF,Log-Bayes,100,76.778482,0,56.46483886,45.31260051,69.8251345,79.21514643,78.82929743,79.57778285,,
Shu | NaFeHCF,Shu,NaFeHCF,SPI+CBU (ours),12,94.207374,88,108,99.7685451,113.4782102,66.29149941,19.85596936,112.7270295,96.10886179,119.8911382
Shu | NaFeHCF,Shu,NaFeHCF,SPI+CBU (ours),24,68.07879,76,96,86,105,86.09796544,73.63604993,98.55988094,79.52026655,112.4797335
Shu | NaFeHCF,Shu,NaFeHCF,SPI+CBU (ours),36,50.5788,64,80,70.73542304,89.75582721,73.37741796,61.39531498,85.35952095,63.5025689,96.4974311
Shu | NaFeHCF,Shu,NaFeHCF,SPI+CBU (ours),48,39.232648,52,55,48,63.4198094,59.58056213,47.66489583,71.49622843,41.62556059,68.37443941
Shu | NaFeHCF,Shu,NaFeHCF,SPI+CBU (ours),60,31.772368,40,31.32810865,25.96498865,37,46.88191579,34.96175485,58.80207672,21.75684309,40.89937421
Shu | NaFeHCF,Shu,NaFeHCF,SPI+CBU (ours),72,26.872868,28,13.96498865,10.3281096,17.77440196,34.51546825,22.59091083,46.44002566,7.506414272,20.42356303
Shu | NaFeHCF,Shu,NaFeHCF,SPI+CBU (ours),84,24.421506,16,1.964988652,0.393075975,4.223785858,23.61397052,11.6442165,35.58372454,0,5.287571694
Shu | NaFeHCF,Shu,NaFeHCF,SPI+CBU (ours),96,22.947456,4,-10.03501135,0,34,15.58643212,3.739089431,27.43377481,0,19.45503799
Shu | NaFeHCF,Shu,NaFeHCF,SPI+CBU (ours),100,22.496256,0,1.311975576,0.197936177,5.882888197,13.96010563,0.935928029,26.98428322,0,6.24284368
Shu | NaFeHCF,Shu,NaFeHCF,SPI+TBU,12,94.207374,88,242,132,702.8875198,66.29149941,19.85596936,112.7270295,,
Shu | NaFeHCF,Shu,NaFeHCF,SPI+TBU,24,68.07879,76,140,85.3,358.1,91.65109053,77.57653406,105.725647,,
Shu | NaFeHCF,Shu,NaFeHCF,SPI+TBU,36,50.5788,64,49.11249087,35.98461942,73.50980975,72.09731093,59.2443532,84.95026865,,
Shu | NaFeHCF,Shu,NaFeHCF,SPI+TBU,48,39.232648,52,21.85684533,16,30.16637704,49.01298021,36.3109704,61.71499002,,
Shu | NaFeHCF,Shu,NaFeHCF,SPI+TBU,60,31.772368,40,8.659333403,4.627406658,13.57616198,31.10900145,18.48280913,43.73519377,,
Shu | NaFeHCF,Shu,NaFeHCF,SPI+TBU,72,26.872868,28,0,0,3.50943309,18.969848,6.458379811,31.48131618,,
Shu | NaFeHCF,Shu,NaFeHCF,SPI+TBU,84,24.421506,16,0,0,0,12.34816725,-0.03924626,24.73558077,,
Shu | NaFeHCF,Shu,NaFeHCF,SPI+TBU,96,22.947456,4,0,0,0,9.432251262,-2.846958775,21.7114613,,
Shu | NaFeHCF,Shu,NaFeHCF,SPI+TBU,100,22.496256,0,0,0,0,13.09741427,1.040241508,25.15458703,,
Shu | NaFeHCF,Shu,NaFeHCF,Lin,12,94.207374,88,197,109.481276,715.3289459,64.81353408,11.79216742,117.8349007,,
Shu | NaFeHCF,Shu,NaFeHCF,Lin,24,68.07879,76,127,71.96812832,326.75,89.83624446,63.74545943,115.9270295,,
Shu | NaFeHCF,Shu,NaFeHCF,Lin,36,50.5788,64,51.46433468,35.69238849,83.39879893,76.56457664,50.62402014,102.5051331,,
