material,replicate,cycle,pred_retention,ci_lo,ci_hi
KCoHCF,1,9092.12803458081,85.52133006019791,85.45682097301653,85.58583914737929
KCoHCF,1,9142.127500588193,85.51095604792302,85.44633336274809,85.57557873309794
KCoHCF,1,9192.401923854373,85.50058202942566,85.43584503114901,85.5653190277023
KCoHCF,1,9242.952816425382,85.49020800473988,85.42535598203364,85.55506002744613
KCoHCF,1,9293.781698662293,85.47983397389952,85.41486621921268,85.54480172858635
KCoHCF,1,9344.89009928698,85.46945993693821,85.40437574649305,85.53454412738337
KCoHCF,1,9396.279555428044,85.45908589388942,85.39388456767736,85.52428722010148
KCoHCF,1,9447.951612667068,85.44871184478646,85.38339268656367,85.51403100300925
KCoHCF,1,9499.907825085136,85.43833778966243,85.37290010694497,85.50377547237989
KCoHCF,1,9552.149755309507,85.42796372855022,85.36240683260894,85.49352062449151
KCoHCF,1,9604.678974560657,85.41758966148262,85.35191286733762,85.48326645562763
KCoHCF,1,9657.497062699515,85.40721558849216,85.34141821490695,85.47301296207738
KCoHCF,1,9710.605608275018,85.39684150961125,85.33092287908657,85.46276014013593
KCoHCF,1,9764.006208571825,85.38646742487208,85.3204268636394,85.45250798610476
KCoHCF,1,9817.700469658392,85.37609333430669,85.30993017232133,85.44225649629205
KCoHCF,1,9871.6900064353,85.36571923794693,85.299432808881,85.43200566701287
KCoHCF,1,9925.976442683768,85.3553451358245,85.28893477705935,85.42175549458966
KCoHCF,1,9980.561411114531,85.3449710279709,85.27843608058942,85.41150597535238
KCoHCF,1,10035.446553416932,85.33459691441747,85.26793672319604,85.4012571056389
KCoHCF,1,10090.633520308298,85.32422279519537,85.25743670859549,85.39100888179524
KCoHCF,1,10146.123971583567,85.31384867033562,85.24693604049533,85.3807613001759
KCoHCF,1,10201.919576165294,85.30347453986901,85.23643472259396,85.37051435714407
KCoHCF,1,10258.022012153706,85.29310040382624,85.2259327585805,85.36026804907199
KCoHCF,1,10314.432966877279,85.28272626223777,85.21543015213449,85.35002237234106
KCoHCF,1,10371.154136943444,85.27235211513393,85.20492690692555,85.3397773233423
KCoHCF,1,10428.187228289626,85.26197796254489,85.19442302661331,85.32953289847647
KCoHCF,1,10485.533956234547,85.25160380450063,85.18391851484694,85.31928909415433
KCoHCF,1,10543.196045529794,85.241229641031,85.1734133752651,85.3090459067969
KCoHCF,1,10601.175230411778,85.23085547216563,85.1629076114956,85.29880333283566
KCoHCF,1,10659.473254653769,85.22048129793406,85.15240122715525,85.28856136871286
KCoHCF,1,10718.091871618422,85.21010711836561,85.1418942258496,85.27832001088163
KCoHCF,1,10777.032844310486,85.19973293348949,85.1313866111727,85.26807925580627
KCoHCF,1,10836.297945429842,85.18935874333468,85.12087838670693,85.25783909996242
KCoHCF,1,10895.888957424799,85.17898454793009,85.11036955602286,85.24759953983731
