material,threshold,replicate,method,life,band_lo,band_hi,cycle,actual,true_RUL,pred_RUL,pred_retention,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,627.0,96.20228496545457,740.4597537274692,746.0,95.87786614547852,578.9278940631157,913.0721059368844
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,684.0,96.13880242909092,683.4597537274692,696.0,95.55732910251592,528.9278940631157,863.0721059368843
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,741.0,95.78585691,626.4597537274692,639.0,95.23374913355256,471.9278940631157,806.0721059368843
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,798.0,95.32307399727272,569.4597537274692,586.0,95.29718724685549,461.58565940293096,710.414340597069
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,855.0,94.78559540818182,512.4597537274692,506.0,94.8340617912986,383.0183654053489,628.9816345946512
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,912.0,94.35167760090908,455.4597537274692,466.0,94.23092467766313,372.9234418705146,559.0765581294854
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,969.0,94.04657512454546,398.4597537274692,415.0,93.82748606274944,354.8725642211044,475.1274357788956
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,1026.0,93.46200091,341.4597537274692,360.0,93.36293027790218,321.9177501292775,398.0822498707225
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,1083.0,92.80994333363635,284.4597537274692,281.8445882100318,92.88116777767624,248.01424002390456,315.67493639615907
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,1140.0,92.5538053018182,227.4597537274692,248.3483146078896,92.18846819337868,228.7988101232833,267.8978190924959
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,1197.0,91.41794848545454,170.4597537274692,169.0,91.84031154724292,139.42155349846797,198.57844650153203
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,1254.0,90.87398984636364,113.4597537274692,91.0,91.10310843314538,48.75828108999958,133.24171891000043
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,1311.0,90.70826439272729,56.459753727469206,47.0,90.34290370486278,16.959390271881542,77.04060972811845
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,1367.0,90.00467499909091,0.4597537274692058,1.0,89.90341270366565,0.0,16.158953832035138
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,57.0,99.48056541909092,1310.4597537274692,1118.0,98.77284972264424,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,114.0,99.24522201454546,1253.4597537274692,1041.0,98.74911710954342,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,171.0,98.97683184,1196.4597537274692,982.0,98.72417188542693,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,228.0,98.47204389272726,1139.4597537274692,926.0,98.43273295958528,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,285.0,98.39312995363638,1082.4597537274692,892.0,98.0222666752795,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,342.0,98.07300677727272,1025.4597537274692,888.0,97.65450413944552,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,399.0,97.54485612272724,968.4597537274692,912.0,97.34353655062507,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,456.0,97.04506017,911.4597537274692,842.5216894039313,97.0712546558977,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,513.0,96.59127901090908,854.4597537274692,809.0,96.60992047681276,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,570.0,96.56071154545454,797.4597537274692,834.0,96.20991738550882,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,627.0,96.20228496545457,740.4597537274692,893.6982402363847,95.92614890348597,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,684.0,96.13880242909092,683.4597537274692,958.0,95.72358258483143,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,741.0,95.78585691,626.4597537274692,1005.0,95.5421460631226,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,798.0,95.32307399727272,569.4597537274692,1021.0,95.34352611560412,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,855.0,94.78559540818182,512.4597537274692,827.0,95.10452201171358,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,912.0,94.35167760090908,455.4597537274692,733.5,94.61569690204608,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,969.0,94.04657512454546,398.4597537274692,634.0,94.20193018459103,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,1026.0,93.46200091,341.4597537274692,548.0,93.76054808388312,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,1083.0,92.80994333363635,284.4597537274692,387.7342050096179,93.31487637470248,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,1140.0,92.5538053018182,227.4597537274692,348.0,92.58992179036254,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,1197.0,91.41794848545454,170.4597537274692,227.0,92.21629336446831,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,1254.0,90.87398984636364,113.4597537274692,116.0,91.45238226616053,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,1311.0,90.70826439272729,56.459753727469206,57.0,90.57854747331712,,
KCoHCF,90.0,1,SPI+TBU,1367.5,1208.4,1389.2,1367.0,90.00467499909091,0.4597537274692058,0.0,90.02613988491319,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,57.0,99.48056541909092,1310.4597537274692,1156.0,98.19949552005842,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,114.0,99.24522201454546,1253.4597537274692,1103.0,98.47280035551834,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,171.0,98.97683184,1196.4597537274692,1081.0,98.36240142204424,,
